document_info.title,document_info.abstract_preview,term_analysis.bmi_adiposity.present,term_analysis.bmi_adiposity.locations,term_analysis.bmi_adiposity.variations_found,term_analysis.bmi_adiposity.is_main_exposure,term_analysis.mendelian_randomisation.present,term_analysis.mendelian_randomisation.locations,term_analysis.mendelian_randomisation.variations_found,term_analysis.mendelian_randomisation.is_main_method,term_analysis.blood_pressure.present,term_analysis.blood_pressure.locations,term_analysis.blood_pressure.variations_found,term_analysis.blood_pressure.is_main_outcome,term_analysis.european_ancestry.present,term_analysis.european_ancestry.locations,term_analysis.european_ancestry.variations_found,term_analysis.european_ancestry.is_ancestry_European,term_analysis.reviews.present,term_analysis.reviews.locations,term_analysis.reviews.variations_found,Reason.justify
Genetic analysis of obstructive sleep apnoea discovers a strong association with cardiometabolic health,There is currently limited understanding of the ge...,True,['abstract'],['body mass index (BMI)'],True,True,['abstract'],['Mendelian randomisation'],True,True,['abstract'],['hypertension'],False,True,['abstract'],['FinnGen'],True,False,[],[],"Terms found: body mass index (BMI), Mendelian randomisation, hypertension, FinnGen. Missing terms: specific review terms."
"Association of lactase persistence genotype with milk consumption, obesity and blood pressure: a Mendelian randomization study in the 1982 Pelotas (Brazil) Birth Cohort, with a systematic review and meta-analysis",BACKGROUND: Milk intake has been associated with l...,True,"['title', 'abstract']","['obesity', 'body mass index (BMI)']",True,True,"['title', 'abstract']",['Mendelian randomization'],True,True,"['title', 'abstract']","['blood pressure', 'BP']",False,False,[],[],False,True,"['title', 'abstract']",['systematic review'],"Terms found: obesity, body mass index (BMI), Mendelian randomization, blood pressure, BP, systematic review. Terms missing: European ancestry terms."
Metabolic and lifestyle factors in relation to senile cataract: a Mendelian randomization study,We conducted a Mendelian randomization study to de...,True,['abstract'],['body mass index (BMI)'],True,True,"['title', 'abstract']",['Mendelian randomization'],True,True,['abstract'],['systolic blood pressure (SBP)'],False,True,['abstract'],"['FinnGen consortium', 'UK Biobank study']",True,False,[],[],"BMI, Mendelian randomization, systolic blood pressure (SBP), FinnGen consortium, UK Biobank study present. No review terms found."
Association of Serum Uric Acid with Metabolic Syndrome and Its Components: A Mendelian Randomization Analysis,BACKGROUND: The role of uric acid on metabolic syn...,False,[],[],False,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization']",True,True,['abstract'],['hypertension'],False,False,[],[],False,False,[],[],"Mendelian Randomization in title and abstract; hypertension in abstract; No BMI/adiposity, European ancestry, or review terms found."
Impact of comorbidities on gout and hyperuricaemia: an update on prevalence and treatment options,"Gout, the most prevalent inflammatory arthritis wo...",True,['abstract'],['obesity'],False,True,['abstract'],['Mendelian randomisation'],False,True,['abstract'],['hypertension'],False,False,[],[],False,False,[],[],"Obesity mentioned but not as main exposure, Mendelian randomisation mentioned but not as main method, hypertension mentioned but not as main outcome, no European ancestry or review terms found."
Can increasing years of schooling reduce type 2 diabetes (T2D)?: Evidence from a Mendelian randomization of T2D and 10 of its risk factors,A focus in recent decades has involved examining t...,True,['abstract'],['being overweight'],False,True,"['title', 'abstract']",['Mendelian randomization'],True,True,['abstract'],['higher blood pressure'],False,False,[],[],False,False,[],[],"Mendelian randomization present in title and abstract, being overweight and higher blood pressure found in abstract, no European ancestry or review terms found."
"Genetic Association of Waist-to-Hip Ratio With Cardiometabolic Traits, Type 2 Diabetes, and Coronary Heart Disease","Importance: In observational studies, abdominal ad...",True,['abstract'],['body mass index (BMI)'],True,True,['abstract'],['mendelian randomization'],True,True,['abstract'],['blood pressure'],False,True,['abstract'],['UK Biobank'],True,False,[],[],"The terms 'body mass index (BMI)', 'mendelian randomization', 'blood pressure', and 'UK Biobank' are present in the abstract. No review terms found."
Evidence of a causal relationship between high serum adiponectin levels and increased cardiovascular mortality rate in patients with type 2 diabetes,BACKGROUND: Despite its beneficial role on insulin...,True,['abstract'],['BMI'],False,True,['abstract'],['Mendelian randomization'],True,True,['abstract'],['hypertension'],False,False,[],[],False,False,[],[],"BMI, Mendelian randomization, hypertension present in abstract. No European ancestry or review terms found."
Association of cardiovascular risk factors and lifestyle behaviors with aortic aneurysm: A Mendelian randomization study,Objective: To examine the causality between hypert...,True,['abstract'],['body mass index (BMI)'],True,True,"['title', 'abstract']","['Mendelian randomization', 'Mendelian randomisation']",True,True,['abstract'],['hypertension'],True,True,['abstract'],['European ancestry'],True,False,[],[],"All terms present: body mass index (BMI), Mendelian randomization, Mendelian randomisation, hypertension, European ancestry. Missing terms: European country names, review terms."
Risk factors mediating the effect of body mass index and waist-to-hip ratio on cardiovascular outcomes: Mendelian randomization analysis,BACKGROUND: Higher body mass index (BMI) and waist...,True,"['title', 'abstract']","['body mass index', 'BMI']",True,True,"['title', 'abstract']",['Mendelian randomization'],True,True,['abstract'],['systolic blood pressure'],True,True,['abstract'],['European ancestry'],True,False,[],[],"All terms 'body mass index', 'BMI', 'Mendelian randomization', 'systolic blood pressure', and 'European ancestry' are present in the title and abstract. No review terms found."
Type 2 Diabetes Is Causally Associated With Reduced Serum Osteocalcin: A Genomewide Association and Mendelian Randomization Study,Recent advances indicate that bone and energy meta...,True,['abstract'],['body mass index (BMI)'],True,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization (MR)']",True,True,['abstract'],['diastolic blood pressure (DBP)'],False,False,[],[],False,False,[],[],"BMI as main exposure, Mendelian Randomization as main method, diastolic blood pressure not main outcome, no European ancestry terms, no review terms."
Alcohol consumption and electrocardiographic left ventricular hypertrophy and mediation by elevated blood pressure in older Chinese men: the Guangzhou Biobank Cohort Study,BACKGROUND: Chinese people have a markedly lower a...,True,['abstract'],['body mass index'],False,False,[],[],False,True,"['title', 'abstract']","['blood pressure', 'BP', 'elevated BP']",False,False,[],[],False,False,[],[],"The document contains 'body mass index' but it is not the main exposure, 'blood pressure' terms are present but not the main outcome, and there are no mentions of Mendelian randomisation, European ancestry, or review types."
"Genetically, Dietary Sodium Intake Is Causally Associated with Salt-Sensitive Hypertension Risk in a Community-Based Cohort Study: a Mendelian Randomization Approach",PURPOSE OF REVIEW: Excessive dietary salt intake i...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization']",True,True,"['title', 'abstract']","['hypertension', 'blood pressure', 'salt-sensitive hypertension']",True,False,[],[],False,False,[],[],"BMI mentioned as a confounder, not main exposure. Mendelian randomisation is the main method used. Blood pressure terms are the main outcome. No European ancestry terms found. No review terms found."
Causal association of body mass index with hypertension using a Mendelian randomization design,Observational studies have shown that obesity is a...,True,"['title', 'abstract']","['body mass index', 'obesity', 'BMI']",True,True,"['title', 'abstract']","['Mendelian randomization', 'Mendelian randomization (MR)']",True,True,"['title', 'abstract']",['hypertension'],True,False,[],[],False,False,[],[],"All terms related to BMI/adiposity, Mendelian randomisation, and blood pressure are present in both the title and abstract. No European ancestry or review terms found."
Using genetics to detangle the relationships between red cell distribution width and cardiovascular diseases: a unique role for body mass index,OBJECTIVE: Red cell distribution width (RDW) is an...,True,"['title', 'abstract']",['body mass index (BMI)'],True,True,['abstract'],['Mendelian randomisation'],True,True,['abstract'],"['systolic blood pressure', 'diastolic blood pressure']",False,False,[],[],False,False,[],[],"Terms found: body mass index (BMI), Mendelian randomisation, systolic blood pressure, diastolic blood pressure. Terms missing: European ancestry terms, review terms."
Causal associations of body mass index and waist-to-hip ratio with cardiometabolic traits among Chinese children: A Mendelian randomization study,BACKGROUND AND AIMS: Body mass index (BMI) and wai...,True,"['title', 'abstract']","['body mass index', 'BMI']",True,True,"['title', 'abstract']",['Mendelian randomization'],True,True,['abstract'],"['blood pressure', 'systolic blood pressure']",True,True,['abstract'],['European populations'],True,False,[],[],"All terms are present in the title and abstract except for review terms. BMI and Mendelian randomization are main exposure and method, respectively. Blood pressure is the main outcome, and European ancestry is confirmed."
Phenome-wide investigation of the causal associations between childhood BMI and adult trait outcomes: a two-sample Mendelian randomization study,BACKGROUND: Childhood obesity is reported to be as...,True,"['title', 'abstract']","['childhood body mass index (BMI)', 'childhood BMI', 'adult BMI']",False,True,"['title', 'abstract']",['Mendelian randomization'],True,True,['abstract'],['essential hypertension'],False,True,['abstract'],['UK Biobank'],True,False,[],[],"The terms 'childhood body mass index (BMI)', 'childhood BMI', and 'adult BMI' are present but not as main exposure; 'Mendelian randomization' is used as the main method; 'essential hypertension' is mentioned but not as the main outcome; 'UK Biobank' indicates European ancestry; no review terms found."
Genetic Evidence for Different Adiposity Phenotypes and Their Opposing Influences on Ectopic Fat and Risk of Cardiometabolic Disease,To understand the causal role of adiposity and ect...,True,"['title', 'abstract']",['adiposity'],True,True,['abstract'],['Mendelian randomization'],True,True,['abstract'],['hypertension'],True,True,['abstract'],['UK Biobank'],True,False,[],[],"adiposity, Mendelian randomization, hypertension, UK Biobank"
Modifiable Risk Factors for Intracranial Aneurysm and Aneurysmal Subarachnoid Hemorrhage: A Mendelian Randomization Study,Background The aim of this study was to assess the...,True,['abstract'],['higher body mass index'],True,True,"['title', 'abstract']",['Mendelian randomization'],True,True,['abstract'],"['higher blood pressure', 'diastolic blood pressure']",True,False,[],[],False,False,[],[],"Terms found: higher body mass index, Mendelian randomization, higher blood pressure, diastolic blood pressure. Terms missing: European ancestry terms, review terms."
The influence of obesity-related factors in the etiology of renal cell carcinoma-A mendelian randomization study,BACKGROUND: Several obesity-related factors have b...,True,['abstract'],"['higher body mass index', 'waist-to-hip ratio', 'body fat percentage']",True,True,"['title', 'abstract']",['mendelian randomization'],True,True,['abstract'],['diastolic blood pressure'],False,False,[],[],False,False,[],[],"The terms 'higher body mass index', 'waist-to-hip ratio', 'body fat percentage', 'mendelian randomization', and 'diastolic blood pressure' are present in the abstract. No European ancestry terms or review terms found."
The association between mitochondrial DNA abundance and stroke: A combination of multivariable-adjusted survival and Mendelian randomization analyses,BACKGROUND AND AIMS: Mitochondrial dysfunction is ...,True,['abstract'],['BMI'],False,True,"['title', 'abstract']","['Mendelian Randomization', 'MR']",True,True,['abstract'],['hypertension'],False,True,['abstract'],['European-ancestry'],True,False,[],[],"BMI, Mendelian Randomization, MR, hypertension, European-ancestry are present. No review terms found."
Polygenic risk score identifies associations between sleep duration and diseases determined from an electronic medical record biobank,STUDY OBJECTIVES: We aimed to detect cross-section...,True,['abstract'],['obesity'],False,True,['abstract'],['Mendelian randomization'],True,True,['abstract'],['hypertension'],True,False,[],[],False,False,[],[],"obesity, Mendelian randomization, hypertension"
Interaction-based Mendelian randomization with measured and unmeasured gene-by-covariate interactions,Studies leveraging gene-environment (GxE) interact...,True,['abstract'],['body mass index (BMI)'],True,True,"['title', 'abstract']","['Mendelian randomization', 'Mendelian randomization (MR)']",True,True,['abstract'],['systolic blood pressure (SBP)'],True,True,['abstract'],['UK Biobank'],True,False,[],[],"All terms are present in the abstract except for review terms, which are missing."
BMI Is Causally Associated With Pulmonary Artery Pressure But Not Hemodynamic Evidence of Pulmonary Vascular Remodeling,BACKGROUND: There is an unclear relationship of ob...,True,"['title', 'abstract']",['BMI'],True,True,['abstract'],['Mendelian randomization'],True,True,"['title', 'abstract']","['pulmonary artery pressure', 'systolic pulmonary artery pressure']",True,False,[],[],False,False,[],[],"BMI, Mendelian randomization, pulmonary artery pressure, systolic pulmonary artery pressure present. No European ancestry or review terms found."
Contribution of metabolic risk factors and lifestyle behaviors to cardiovascular disease: A mendelian randomization study,BACKGROUND AND AIMS: Etiologic associations betwee...,True,['abstract'],['body mass index'],True,True,"['title', 'abstract']","['Mendelian randomization', 'Mendelian randomization (MR)']",True,True,['abstract'],"['blood pressure', 'hypertension', 'systolic BP', 'diastolic BP']",True,False,[],[],False,True,['abstract'],['systematic MR study'],"All terms present: body mass index, Mendelian randomization, Mendelian randomization (MR), blood pressure, hypertension, systolic BP, diastolic BP, systematic MR study. Missing terms: European ancestry terms."
Exploring causal associations between alcohol and coronary heart disease risk factors: findings from a Mendelian randomization study in the Copenhagen General Population Study,AIMS: To explore the causal effect of long-term al...,True,['abstract'],['body mass index (BMI)'],True,True,"['title', 'abstract']",['Mendelian randomization'],True,True,['abstract'],['blood pressure (BP)'],True,True,['title'],['Copenhagen'],True,False,[],[],"Terms found: body mass index (BMI), Mendelian randomization, blood pressure (BP), Copenhagen. Terms missing: review terms."
A multi-omics study of circulating phospholipid markers of blood pressure,High-throughput techniques allow us to measure a w...,True,['abstract'],['body mass index'],False,True,['abstract'],['Mendelian Randomization'],False,True,"['title', 'abstract']","['blood pressure', 'hypertension', 'systolic blood pressure', 'diastolic blood pressure']",True,True,['abstract'],['European'],True,False,[],[],"The abstract mentions 'body mass index' but not as a main exposure, 'Mendelian Randomization' but not as the main method, multiple blood pressure terms with blood pressure as the main outcome, and 'European' confirming European ancestry. No review terms found."
"Birthweight, Type 2 Diabetes Mellitus, and Cardiovascular Disease: Addressing the Barker Hypothesis With Mendelian Randomization",BACKGROUND: Low birthweight has been associated wi...,True,['abstract'],"['adult body mass index', 'body fat']",True,True,"['title', 'abstract']",['Mendelian randomization'],True,True,['abstract'],['systolic and diastolic blood pressure'],False,True,['abstract'],['UK Biobank'],True,False,[],[],"adult body mass index, body fat, Mendelian randomization, systolic and diastolic blood pressure, UK Biobank, no review terms"
Causal Effect of Adiposity Measures on Blood Pressure Traits in 2 Urban Swedish Cohorts: A Mendelian Randomization Study,Background Different adiposity traits may be causa...,True,"['title', 'abstract']","['Adiposity Measures', 'adiposity traits', 'body mass index']",True,True,"['title', 'abstract']",['Mendelian Randomization'],True,True,"['title', 'abstract']","['Blood Pressure Traits', 'hypertension', 'systolic BP', 'diastolic BP']",True,True,['abstract'],['Swedish'],True,False,[],[],"All terms are present in the title and abstract except for review terms. Adiposity measures and Mendelian Randomization are the main exposure and method, respectively, and blood pressure traits are the main outcome. Swedish cohorts indicate European ancestry."
High-Density Lipoprotein 3 Cholesterol and Primary Open-Angle Glaucoma: Metabolomics and Mendelian Randomization Analyses,PURPOSE: We hypothesized that the effect of blood ...,True,['abstract'],['body mass index (BMI)'],False,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization']",True,True,['abstract'],['systolic blood pressure'],False,False,[],[],False,False,[],[],"BMI mentioned as a covariate, not main exposure; Mendelian randomization used as main method; systolic blood pressure mentioned but not as main outcome; no European ancestry or review terms found."
The role of adiposity in cardiometabolic traits: a Mendelian randomization analysis,BACKGROUND: The association between adiposity and ...,True,"['title', 'abstract']","['adiposity', 'body mass index (BMI)']",True,True,"['title', 'abstract']",['Mendelian randomization'],True,True,['abstract'],"['hypertension', 'systolic and diastolic blood pressure']",True,True,['abstract'],['European descent'],True,False,[],[],All terms are present in the title and abstract except for review terms.
Obesity increases the risk of cardiovascular disease,"Evidence from epidemiology, randomized interventio...",True,"['title', 'abstract']",['obesity'],True,True,['abstract'],['Mendelian randomization'],True,False,[],[],False,False,[],[],False,False,[],[],"Obesity found in title and abstract, Mendelian randomization found in abstract. No specific blood pressure, European ancestry, or review terms present."
Systematic evaluation of the association between hemoglobin levels and metabolic profile implicates beneficial effects of hypoxia,Activation of the hypoxia-inducible factor (HIF) p...,True,['abstract'],['lower body mass index'],True,True,['abstract'],['Mendelian randomization'],True,True,['abstract'],['blood pressure'],True,False,[],[],False,True,['title'],['Systematic evaluation'],"lower body mass index, Mendelian randomization, blood pressure, Systematic evaluation"
Lifestyle and metabolic factors for nonalcoholic fatty liver disease: Mendelian randomization study,The risk factors for nonalcoholic fatty liver dise...,True,['abstract'],['body mass index (BMI)'],True,True,"['title', 'abstract']","['Mendelian randomization', 'Mendelian randomization (MR)']",True,True,['abstract'],['systolic blood pressure'],False,False,[],[],False,False,[],[],"BMI as main exposure, Mendelian randomisation as main method, systolic blood pressure not main outcome, no European ancestry or review terms."
A phenome-wide bidirectional Mendelian randomization analysis of atrial fibrillation,BACKGROUND: The prevalence of atrial fibrillation ...,True,['abstract'],['body mass index'],True,True,"['title', 'abstract']","['Mendelian randomization', 'MR']",True,True,['abstract'],['systolic blood pressure'],False,False,[],[],False,False,[],[],BMI and systolic blood pressure terms are present in the abstract. Mendelian randomization is mentioned in both the title and abstract. No European ancestry or review terms found.
Causal effects of cardiovascular risk factors on onset of major age-related diseases: A time-to-event Mendelian randomization study,BACKGROUNDS: Elucidating the causal effects of com...,True,['abstract'],['body mass index (BMI)'],True,True,"['title', 'abstract']",['Mendelian randomization'],True,True,['abstract'],['systolic blood pressure (SBP)'],True,False,[],[],False,False,[],[],"BMI, Mendelian randomization, systolic blood pressure (SBP) are present in the abstract. No European ancestry or review terms found."
Revisiting the Alcohol Consumption Association With Age-Related Macular Degeneration: What Should We Tell Patients in 2021?,N/A...,False,[],[],False,False,[],[],False,False,[],[],False,False,[],[],False,False,[],[],"No terms related to BMI/adiposity, Mendelian randomisation, blood pressure, European ancestry, or reviews are present in the title or abstract."
"Robust Mendelian randomization in the presence of residual population stratification, batch effects and horizontal pleiotropy",Mendelian Randomization (MR) studies are threatene...,True,['abstract'],['body mass index'],True,True,"['title', 'abstract']","['Mendelian randomization', 'Mendelian Randomization']",True,True,['abstract'],['diastolic blood pressure'],True,False,[],[],False,False,[],[],"Mendelian randomization, Mendelian Randomization, body mass index, diastolic blood pressure present in the abstract. No European ancestry or country terms found. No review terms found."
Negative Effects of Age at Menarche on Risk of Cardiometabolic Diseases in Adulthood: A Mendelian Randomization Study,CONTEXT: Observational studies have demonstrated t...,True,['abstract'],['adult body mass index (BMI)'],False,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization (MR)']",True,True,['abstract'],['diastolic blood pressure'],False,False,[],[],False,False,[],[],"BMI/adiposity terms present but not as main exposure, Mendelian randomisation is the main method, blood pressure present but not as main outcome, no European ancestry or review terms found."
"Genetically driven adiposity traits increase the risk of coronary artery disease independent of blood pressure, dyslipidaemia, glycaemic traits",Adiposity has been associated with the risk of cor...,True,"['title', 'abstract']","['adiposity', 'body mass index (BMI)', 'waist-hip ratio (WHR)', 'WHR adjusted for BMI (WHRadjBMI)']",True,True,['abstract'],['Mendelian randomization'],True,True,['title'],['blood pressure'],False,False,[],[],False,False,[],[],"Adiposity, body mass index (BMI), waist-hip ratio (WHR), WHR adjusted for BMI (WHRadjBMI), Mendelian randomization, blood pressure. No European ancestry or review terms found."
A data-driven approach for studying the role of body mass in multiple diseases: a phenome-wide registry-based case-control study in the UK Biobank,BACKGROUND: Mendelian randomisation allows for the...,True,"['title', 'abstract']","['high body-mass index (BMI)', 'BMI genetic risk score']",True,True,['abstract'],"['Mendelian randomisation', 'mendelian randomisation', 'inverse-variance weighted mendelian randomisation', 'Mendelian randomisation with Egger regression']",True,True,['abstract'],['hypertension'],True,True,['abstract'],['white British'],True,False,[],[],"All terms are present in the abstract except for review terms, which are missing."
Genetic studies of abdominal MRI data identify genes regulating hepcidin as major determinants of liver iron concentration,BACKGROUND & AIMS: Excess liver iron content is co...,True,['abstract'],['central obesity'],True,True,['abstract'],['Mendelian randomisation'],True,True,['abstract'],['high blood pressure'],False,True,['abstract'],['UK Biobank'],True,False,[],[],"central obesity, Mendelian randomisation, high blood pressure, UK Biobank, no review terms"
"Coffee intake and risk of obesity, metabolic syndrome and type 2 diabetes: a Mendelian randomization study",BACKGROUND: Coffee is one of the most widely consu...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']",['Mendelian randomization'],True,True,['abstract'],['systolic/diastolic blood pressure'],False,False,[],[],False,False,[],[],"Mendelian randomization, body mass index, systolic/diastolic blood pressure"
Identifying shared genetic loci between coronavirus disease 2019 and cardiovascular diseases based on cross-trait meta-analysis,People with coronavirus disease 2019 (COVID-19) ha...,True,['abstract'],['obesity'],False,True,['abstract'],['Mendelian randomization'],True,True,['abstract'],['hypertension'],False,False,[],[],False,False,[],[],"The abstract mentions 'obesity' but not as a main exposure, 'Mendelian randomization' as the main method, 'hypertension' but not as the main outcome. No terms related to European ancestry or review types were found."
Association of plasma uric acid with ischaemic heart disease and blood pressure: mendelian randomisation analysis of two large cohorts,OBJECTIVES: To assess the associations between bot...,True,['abstract'],['body mass index'],True,True,"['title', 'abstract']",['mendelian randomisation'],True,True,"['title', 'abstract']","['blood pressure', 'diastolic and systolic blood pressure']",True,True,['abstract'],['Denmark'],True,False,[],[],"All terms are present except for review terms. BMI is studied as a main exposure, Mendelian randomisation is the main method, blood pressure is the main outcome, and the study is based in Denmark indicating European ancestry."
Association of vitamin D status with arterial blood pressure and hypertension risk: a mendelian randomisation study,BACKGROUND: Low plasma 25-hydroxyvitamin D (25[OH]...,False,[],[],False,True,"['title', 'abstract']",['mendelian randomisation'],True,True,"['title', 'abstract']","['arterial blood pressure', 'hypertension risk', 'blood pressure', 'hypertension', 'systolic blood pressure', 'diastolic blood pressure']",True,False,[],[],False,False,[],[],"Mendelian randomisation, arterial blood pressure, hypertension risk, blood pressure, hypertension, systolic blood pressure, diastolic blood pressure present. BMI/adiposity, European ancestry, review terms missing."
"Nonfasting glucose, ischemic heart disease, and myocardial infarction: a Mendelian randomization study",OBJECTIVES: The purpose of this study was to test ...,False,[],[],False,True,"['title', 'abstract']",['Mendelian randomization'],True,False,[],[],False,True,['abstract'],"['Copenhagen, Denmark']",True,False,[],[],"Mendelian randomization present in title and abstract, Copenhagen, Denmark indicates European ancestry, no terms related to BMI/adiposity, blood pressure, or reviews found."
Genetically elevated levels of circulating triglycerides and brachial-ankle pulse wave velocity in a Chinese population,Elevated levels of circulating triglycerides and i...,True,['abstract'],['body mass index (BMI)'],False,True,['abstract'],['Mendelian randomization'],True,True,['abstract'],['systolic blood pressure'],False,False,[],[],False,False,[],[],"BMI mentioned as a covariate, Mendelian randomization used as main method, systolic blood pressure mentioned as a covariate, no European ancestry or review terms found."
"Causal Inference for Genetic Obesity, Cardiometabolic Profile and COVID-19 Susceptibility: A Mendelian Randomization Study",BACKGROUND: Cross-sectional observational studies ...,True,"['title', 'abstract']",['body mass index [BMI]'],True,True,"['title', 'abstract']","['Mendelian Randomization', 'One-sample MR', 'Two-sample MR']",True,True,['abstract'],['systolic blood pressure [SBP]'],False,True,['abstract'],['European'],True,False,[],[],"BMI and Mendelian Randomization are present in both title and abstract, systolic blood pressure is mentioned in the abstract but not as a main outcome, European ancestry is confirmed with the term 'European' in the abstract, no review terms found."
Epigenome-wide association study identifies DNA methylation sites associated with target organ damage in older African Americans,Target organ damage (TOD) manifests as vascular in...,True,['abstract'],['body mass index'],False,True,['abstract'],['Mendelian randomization'],True,True,['abstract'],['blood pressure'],True,False,[],[],False,False,[],[],"The abstract mentions 'body mass index', 'Mendelian randomization', and 'blood pressure'. No European ancestry terms or review terms found."
