,document_info.title,document_info.abstract_preview,term_analysis.bmi_adiposity.present,term_analysis.bmi_adiposity.locations,term_analysis.bmi_adiposity.variations_found,term_analysis.bmi_adiposity.is_main_exposure,term_analysis.mendelian_randomisation.present,term_analysis.mendelian_randomisation.locations,term_analysis.mendelian_randomisation.variations_found,term_analysis.blood_pressure.present,term_analysis.blood_pressure.locations,term_analysis.blood_pressure.variations_found,term_analysis.european_ancestry.present,term_analysis.european_ancestry.locations,term_analysis.european_ancestry.variations_found,score.value,score.breakdown.bmi_adiposity,score.breakdown.mendelian_randomisation,score.breakdown.blood_pressure_terms,score.breakdown.european_ancestry,score.justification,score.breakdown.blood pressure terms,score.breakdown.blood_pressure terms,SCORE
10,Genetic analysis of obstructive sleep apnoea discovers a strong association with cardiometabolic health,There is currently limited understanding of the ge...,True,['abstract'],['body mass index (BMI)'],True,True,['abstract'],['Mendelian randomisation'],True,['abstract'],['hypertension'],True,['abstract'],['FinnGen'],2,1,1,,-1,"BMI is studied as a main exposure for OSA, Mendelian randomisation is present, hypertension is mentioned as a comorbidity, and FinnGen indicates Finnish (European) ancestry.",,1.0,5
11,"Association of lactase persistence genotype with milk consumption, obesity and blood pressure: a Mendelian randomization study in the 1982 Pelotas (Brazil) Birth Cohort, with a systematic review and meta-analysis",BACKGROUND: Milk intake has been associated with l...,True,"['title', 'abstract']","['obesity', 'body mass index (BMI)']",False,True,"['title', 'abstract']",['Mendelian randomization'],True,"['title', 'abstract']","['blood pressure', 'BP', 'systolic and diastolic BP']",False,[],[],-1,-1,1,-1.0,-2,"BMI/adiposity terms are present but not as main exposure, leading to a -1 score. Mendelian randomisation is present, adding 1 point. Blood pressure terms are present but not as the main outcome, resulting in -1 point. No European ancestry terms are found, resulting in -2 points.",,,-1
12,Metabolic and lifestyle factors in relation to senile cataract: a Mendelian randomization study,We conducted a Mendelian randomization study to de...,True,['abstract'],['body mass index (BMI)'],True,True,"['title', 'abstract']",['Mendelian randomization'],True,['abstract'],['systolic blood pressure (SBP)'],True,['abstract'],"['FinnGen consortium', 'UK Biobank']",2,1,1,1.0,-1,"BMI is studied as a main exposure to blood pressure, which is the main outcome. Mendelian randomisation is present in both title and abstract. European ancestry is mentioned, but the terms used refer to specific studies rather than ancestry directly.",,,5
13,Association of Serum Uric Acid with Metabolic Syndrome and Its Components: A Mendelian Randomization Analysis,BACKGROUND: The role of uric acid on metabolic syn...,False,[],[],False,True,"['title', 'abstract']",['Mendelian randomization'],True,['abstract'],['hypertension'],False,[],[],-3,-2,1,,-2,"BMI/adiposity is not mentioned, thus not the main exposure (-2). Mendelian randomisation is present (+1). Blood pressure terms are present but not as the main outcome (+1). No mention of European ancestry or population (-2).",,1.0,-2
14,Impact of comorbidities on gout and hyperuricaemia: an update on prevalence and treatment options,"Gout, the most prevalent inflammatory arthritis wo...",False,[],[],False,True,['abstract'],['Mendelian randomisation'],True,['abstract'],['hypertension'],False,[],[],-2,-2,1,,-2,"BMI/adiposity terms are absent, not studied as an exposure. Blood pressure terms are present but not as the main outcome. Mendelian randomisation is mentioned but not in the context of European ancestry, which is absent.",,1.0,-2
15,Can increasing years of schooling reduce type 2 diabetes (T2D)?: Evidence from a Mendelian randomization of T2D and 10 of its risk factors,A focus in recent decades has involved examining t...,True,['abstract'],['being overweight'],False,True,"['title', 'abstract']",['Mendelian randomization'],True,['abstract'],['higher blood pressure'],False,[],[],-1,-1,1,1.0,-2,"BMI/adiposity is present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present as outcomes, scoring +1. No European ancestry terms are found, scoring -2.",,,-1
16,"Genetic Association of Waist-to-Hip Ratio With Cardiometabolic Traits, Type 2 Diabetes, and Coronary Heart Disease","Importance: In observational studies, abdominal ad...",True,['abstract'],['body mass index'],True,True,['abstract'],['mendelian randomization'],True,['abstract'],['blood pressure'],True,['abstract'],['UK Biobank'],2,1,1,,-1,"BMI is studied as a main exposure in relation to blood pressure and other outcomes. Mendelian randomisation is present and used in the analysis. Blood pressure is studied as an outcome. European ancestry is indicated by the mention of the UK Biobank, but it does not explicitly confirm European ancestry for the entire study population.",,1.0,5
17,Evidence of a causal relationship between high serum adiponectin levels and increased cardiovascular mortality rate in patients with type 2 diabetes,BACKGROUND: Despite its beneficial role on insulin...,True,['abstract'],['BMI'],False,True,['abstract'],['Mendelian randomization'],True,['abstract'],['hypertension'],False,[],[],-1,-1,1,,-2,"BMI is present but not as the main exposure, only as part of a model. Mendelian randomisation is explicitly mentioned. Hypertension is mentioned as part of the model, indicating blood pressure is considered. No European ancestry terms are found.",1.0,,-1
18,Association of cardiovascular risk factors and lifestyle behaviors with aortic aneurysm: A Mendelian randomization study,Objective: To examine the causality between hypert...,True,['abstract'],['body mass index (BMI)'],True,True,"['title', 'abstract']","['Mendelian randomization', 'Mendelian randomization (MR)']",True,['abstract'],['hypertension'],True,['abstract'],['European ancestry'],2,1,1,1.0,-1,"BMI is studied as a main exposure to aortic aneurysm, not as a covariate or mediator. Blood pressure (hypertension) is studied as an outcome. Mendelian randomisation is present in both title and abstract. European ancestry is mentioned, but the presence of a specific European country is not, hence a slight deduction.",,,5
19,Risk factors mediating the effect of body mass index and waist-to-hip ratio on cardiovascular outcomes: Mendelian randomization analysis,BACKGROUND: Higher body mass index (BMI) and waist...,True,"['title', 'abstract']","['body mass index', 'BMI']",True,True,"['title', 'abstract']",['Mendelian randomization'],True,['abstract'],['systolic blood pressure'],True,['abstract'],['European ancestry'],2,1,1,,-1,"BMI is studied as a main exposure for cardiovascular outcomes, Mendelian randomisation is present, blood pressure is studied as an outcome, and European ancestry is mentioned but not as the sole focus.",,1.0,5
20,Type 2 Diabetes Is Causally Associated With Reduced Serum Osteocalcin: A Genomewide Association and Mendelian Randomization Study,Recent advances indicate that bone and energy meta...,True,['abstract'],['body mass index (BMI)'],True,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization']",True,['abstract'],['diastolic blood pressure (DBP)'],False,[],[],-1,1,1,,-2,BMI is studied as a main exposure variable for blood pressure and other metabolic traits. Mendelian randomisation is present in both title and abstract. Blood pressure is mentioned but not as the main outcome. No European ancestry or population mentioned.,,-1.0,2
21,Alcohol consumption and electrocardiographic left ventricular hypertrophy and mediation by elevated blood pressure in older Chinese men: the Guangzhou Biobank Cohort Study,BACKGROUND: Chinese people have a markedly lower a...,True,['abstract'],['body mass index'],False,True,['abstract'],['Mendelian randomization'],True,"['title', 'abstract']","['elevated blood pressure', 'BP']",False,[],[],-1,-1,1,,-2,"BMI is present but not as a main exposure, Mendelian randomisation is mentioned, blood pressure terms are present as main outcome, and no European ancestry terms are found.",,1.0,-1
22,"Genetically, Dietary Sodium Intake Is Causally Associated with Salt-Sensitive Hypertension Risk in a Community-Based Cohort Study: a Mendelian Randomization Approach",PURPOSE OF REVIEW: Excessive dietary salt intake i...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization']",True,"['title', 'abstract']","['hypertension', 'blood pressure', 'salt-sensitive hypertension']",False,[],[],-1,-1,1,,-2,"BMI/adiposity is present but not as the main exposure, resulting in -1 points. Mendelian randomisation is present, adding 1 point. Blood pressure terms are present and studied as the main outcome, adding 1 point. European ancestry is absent, resulting in -2 points.",1.0,,-1
23,Causal association of body mass index with hypertension using a Mendelian randomization design,Observational studies have shown that obesity is a...,True,"['title', 'abstract']","['body mass index', 'obesity', 'BMI']",True,True,"['title', 'abstract']","['Mendelian randomization', 'Mendelian randomisation']",True,"['title', 'abstract']",['hypertension'],False,[],[],0,1,1,1.0,-2,BMI/adiposity is the main exposure variable as it is used as the instrumental variable for assessing its causal effect on hypertension. Mendelian randomisation is explicitly mentioned as the method used. Hypertension is clearly the outcome variable. No European ancestry or related terms are mentioned; the study is based in Korea.,,,2
24,Using genetics to detangle the relationships between red cell distribution width and cardiovascular diseases: a unique role for body mass index,OBJECTIVE: Red cell distribution width (RDW) is an...,True,"['title', 'abstract']",['body mass index'],True,True,['abstract'],['Mendelian randomisation'],True,['abstract'],"['systolic blood pressure', 'diastolic blood pressure']",False,[],[],0,1,1,,-2,"BMI is studied as a main exposure to RDW, not as a covariate or mediator. Mendelian randomisation is present in the abstract. Blood pressure terms are present but not as the main outcome, hence the negative score. No European ancestry terms are mentioned, resulting in a negative score.",,-1.0,2
25,Causal associations of body mass index and waist-to-hip ratio with cardiometabolic traits among Chinese children: A Mendelian randomization study,BACKGROUND AND AIMS: Body mass index (BMI) and wai...,True,"['title', 'abstract']","['body mass index', 'BMI']",True,True,"['title', 'abstract']",['Mendelian randomization'],True,['abstract'],"['blood pressure', 'systolic blood pressure']",True,['abstract'],['European populations'],2,1,1,1.0,-1,"BMI is studied as a main exposure to cardiometabolic traits, including blood pressure as an outcome. Mendelian randomisation is present and used in the study. European ancestry is mentioned but not the focus of the study, hence the negative score for European ancestry.",,,5
26,Phenome-wide investigation of the causal associations between childhood BMI and adult trait outcomes: a two-sample Mendelian randomization study,BACKGROUND: Childhood obesity is reported to be as...,True,"['title', 'abstract']","['childhood body mass index (BMI)', 'childhood BMI', 'adult BMI']",False,True,"['title', 'abstract']","['Mendelian randomization', 'MR']",True,['abstract'],['essential hypertension'],True,['abstract'],['UK Biobank'],0,-1,1,1.0,1,"BMI/adiposity terms are present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present and studied as an outcome, scoring +1. European ancestry is mentioned specifically as 'UK Biobank', scoring +1.",,,2
27,Genetic Evidence for Different Adiposity Phenotypes and Their Opposing Influences on Ectopic Fat and Risk of Cardiometabolic Disease,To understand the causal role of adiposity and ect...,True,"['title', 'abstract']",['adiposity'],True,True,['abstract'],['Mendelian randomization'],True,['abstract'],['hypertension'],True,['abstract'],['UK Biobank'],2,1,1,,-1,"Adiposity is studied as the main exposure in relation to cardiometabolic diseases, Mendelian randomization is present, hypertension is studied as an outcome, and European ancestry is indicated by 'UK Biobank' but not explicitly as European or white ancestry.",,1.0,5
28,Modifiable Risk Factors for Intracranial Aneurysm and Aneurysmal Subarachnoid Hemorrhage: A Mendelian Randomization Study,Background The aim of this study was to assess the...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']",['Mendelian randomization'],True,['abstract'],"['systolic and diastolic blood pressure', 'high blood pressure']",False,[],[],-1,-1,1,1.0,-2,"BMI is present but not as the main exposure, Mendelian randomisation and blood pressure terms are present, and there is no mention of European ancestry.",,,-1
29,The influence of obesity-related factors in the etiology of renal cell carcinoma-A mendelian randomization study,BACKGROUND: Several obesity-related factors have b...,True,['abstract'],"['body mass index', 'obesity']",True,True,"['title', 'abstract']",['mendelian randomization'],True,['abstract'],['diastolic blood pressure'],False,[],[],0,1,1,,-2,"BMI/adiposity is studied as a main exposure to RCC risk, Mendelian randomisation is present, blood pressure (specifically diastolic blood pressure) is studied as an outcome, and there is no mention of European ancestry.",,1.0,2
30,The association between mitochondrial DNA abundance and stroke: A combination of multivariable-adjusted survival and Mendelian randomization analyses,BACKGROUND AND AIMS: Mitochondrial dysfunction is ...,True,['abstract'],['BMI'],False,True,"['title', 'abstract']","['Mendelian Randomization', 'MR']",True,['abstract'],['hypertension'],True,['abstract'],['European-ancestry'],0,-1,1,1.0,1,"BMI is present but not as the main exposure, it is considered a confounder. Mendelian randomisation is clearly present in both the title and abstract. Blood pressure term 'hypertension' is mentioned as a confounder, not as the main outcome. European ancestry is explicitly mentioned with the term 'European-ancestry'.",,,2
31,Polygenic risk score identifies associations between sleep duration and diseases determined from an electronic medical record biobank,STUDY OBJECTIVES: We aimed to detect cross-section...,True,['abstract'],['obesity'],False,True,['abstract'],['Mendelian randomization'],True,['abstract'],['hypertension'],False,[],[],-1,-1,1,1.0,-2,"Obesity is mentioned but not as the main exposure, hence -1. Mendelian randomization is present, scoring +1. Hypertension is mentioned as an outcome, scoring +1. No European ancestry terms are present, scoring -2.",,,-1
32,Interaction-based Mendelian randomization with measured and unmeasured gene-by-covariate interactions,Studies leveraging gene-environment (GxE) interact...,True,['abstract'],['body mass index (BMI)'],True,True,"['title', 'abstract']","['Mendelian randomization', 'Mendelian randomization (MR)']",True,['abstract'],['systolic blood pressure (SBP)'],True,['abstract'],['UK Biobank'],2,1,1,1.0,-1,"BMI is studied as a main exposure to blood pressure, specifically systolic blood pressure, which is considered as an outcome. Mendelian randomization is present in both the title and abstract. European ancestry is indicated by the mention of UK Biobank, but it does not specifically confirm European or white ancestry, hence the negative score for this category.",,,5
33,BMI Is Causally Associated With Pulmonary Artery Pressure But Not Hemodynamic Evidence of Pulmonary Vascular Remodeling,BACKGROUND: There is an unclear relationship of ob...,True,"['title', 'abstract']",['BMI'],True,True,['abstract'],['Mendelian randomization'],True,['abstract'],"['pulmonary artery pressure', 'systolic pulmonary artery pressure']",False,[],[],0,1,1,-1.0,-2,"BMI is studied as the main exposure for pulmonary artery pressure, which is a blood pressure term. However, blood pressure is not the main outcome studied, hence the negative score. Mendelian randomization is present, but there is no mention of European ancestry, leading to a negative score for that category.",,,2
34,Contribution of metabolic risk factors and lifestyle behaviors to cardiovascular disease: A mendelian randomization study,BACKGROUND AND AIMS: Etiologic associations betwee...,True,['abstract'],['body mass index'],True,True,"['title', 'abstract']","['Mendelian randomization', 'Mendelian randomisation']",True,['abstract'],"['blood pressure', 'hypertension', 'systolic BP', 'diastolic BP']",False,[],[],0,1,1,,-2,"BMI is studied as a main exposure for CVD, Mendelian randomisation is present, blood pressure terms are studied as outcomes, but no European ancestry terms are present.",1.0,,2
35,Exploring causal associations between alcohol and coronary heart disease risk factors: findings from a Mendelian randomization study in the Copenhagen General Population Study,AIMS: To explore the causal effect of long-term al...,True,['abstract'],['body mass index (BMI)'],True,True,"['title', 'abstract']",['Mendelian randomization'],True,['abstract'],['blood pressure (BP)'],True,['title'],['Copenhagen'],2,1,1,1.0,-1,"BMI is studied as a main exposure to blood pressure, which is the outcome. Mendelian randomisation is present in both title and abstract. Blood pressure is also present as an outcome. European ancestry is indicated by 'Copenhagen', but it is not explicitly stated as European or Caucasian ancestry, hence the deduction.",,,5
36,A multi-omics study of circulating phospholipid markers of blood pressure,High-throughput techniques allow us to measure a w...,True,['abstract'],['body mass index'],False,True,['abstract'],['Mendelian Randomization'],True,"['title', 'abstract']","['blood pressure', 'hypertension', 'systolic blood pressure', 'diastolic blood pressure']",True,['abstract'],['European'],0,-1,1,,1,"BMI/adiposity is present but not as the main exposure, hence -1. Blood pressure terms are present and studied as main outcomes, hence +1. Mendelian randomisation is present, hence +1. European ancestry is mentioned, hence +1. Total score is 0.",1.0,,2
37,"Birthweight, Type 2 Diabetes Mellitus, and Cardiovascular Disease: Addressing the Barker Hypothesis With Mendelian Randomization",BACKGROUND: Low birthweight has been associated wi...,True,['abstract'],"['adult body mass index', 'body fat']",False,True,"['title', 'abstract']",['Mendelian randomization'],True,['abstract'],"['systolic and diastolic blood pressure', 'hypertension']",True,['abstract'],['UK Biobank'],0,-1,1,,1,"BMI/adiposity terms are present but not as the main exposure, leading to a -1 score. Mendelian randomisation is present, scoring +1. Blood pressure terms are present but not as the main outcome, scoring -1. European ancestry is indicated by the mention of the UK Biobank, scoring +1.",-1.0,,2
38,Causal Effect of Adiposity Measures on Blood Pressure Traits in 2 Urban Swedish Cohorts: A Mendelian Randomization Study,Background Different adiposity traits may be causa...,True,"['title', 'abstract']","['Adiposity Measures', 'adiposity traits', 'body mass index']",True,True,"['title', 'abstract']",['Mendelian Randomization'],True,['abstract'],"['Blood Pressure', 'hypertension', 'systolic BP', 'diastolic BP']",True,['abstract'],['Swedish'],2,1,1,1.0,-1,"BMI/adiposity is studied as the main exposure for blood pressure outcomes, fulfilling the criteria for a positive score. Mendelian randomisation is clearly mentioned, and blood pressure terms are present as outcomes. European ancestry is mentioned, but only as 'Swedish', which does not fully cover broader European ancestry, leading to a slight deduction.",,,5
39,High-Density Lipoprotein 3 Cholesterol and Primary Open-Angle Glaucoma: Metabolomics and Mendelian Randomization Analyses,PURPOSE: We hypothesized that the effect of blood ...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']",['Mendelian Randomization'],True,['abstract'],['systolic blood pressure'],False,[],[],-2,-1,1,,-2,"BMI is mentioned but not as a main exposure variable, leading to a -1 score. Mendelian randomisation is present, adding 1 point. Blood pressure terms are present as an outcome, adding 1 point. No European ancestry terms are found, resulting in a -2 score.",1.0,,-1
40,The role of adiposity in cardiometabolic traits: a Mendelian randomization analysis,BACKGROUND: The association between adiposity and ...,True,"['title', 'abstract']","['adiposity', 'body mass index', 'BMI']",True,True,"['title', 'abstract']",['Mendelian randomization'],True,['abstract'],"['hypertension', 'systolic and diastolic blood pressure']",True,['abstract'],['European descent'],2,1,1,1.0,-1,"BMI/adiposity is the main exposure studied in relation to blood pressure and other cardiometabolic traits, using Mendelian randomization. Blood pressure is considered as an outcome. European ancestry is mentioned, but not as a primary focus of the study.",,,5
41,Obesity increases the risk of cardiovascular disease,"Evidence from epidemiology, randomized interventio...",False,[],[],False,True,['abstract'],['Mendelian randomization'],False,[],[],False,[],[],-4,-2,1,-2.0,-2,"BMI/adiposity was not mentioned as an exposure or otherwise, resulting in a -2 score. Mendelian randomisation was present, adding 1 point. No blood pressure terms or European ancestry were mentioned, each contributing to a -2 score.",,,-4
42,Systematic evaluation of the association between hemoglobin levels and metabolic profile implicates beneficial effects of hypoxia,Activation of the hypoxia-inducible factor (HIF) p...,True,['abstract'],"['body mass index', 'adiposity']",False,True,['abstract'],['Mendelian randomization'],True,['abstract'],"['blood pressure', 'systolic blood pressure']",False,[],[],-1,-1,1,1.0,-2,"BMI/adiposity is present but not as a main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present as outcomes, scoring +1. No European ancestry terms found, scoring -2.",,,-1
43,Lifestyle and metabolic factors for nonalcoholic fatty liver disease: Mendelian randomization study,The risk factors for nonalcoholic fatty liver dise...,True,['abstract'],['body mass index (BMI)'],True,True,"['title', 'abstract']","['Mendelian randomization', 'Mendelian randomization (MR)']",True,['abstract'],['systolic blood pressure'],False,[],[],0,1,1,,-2,"BMI is studied as a main exposure for NAFLD risk, Mendelian randomisation is present in both title and abstract, blood pressure is present but not as the main outcome, and no European ancestry terms are found.",,-1.0,2
44,A phenome-wide bidirectional Mendelian randomization analysis of atrial fibrillation,BACKGROUND: The prevalence of atrial fibrillation ...,True,['abstract'],['body mass index'],True,True,"['title', 'abstract']","['Mendelian randomization', 'MR']",True,['abstract'],['systolic blood pressure'],False,[],[],0,1,1,1.0,-2,"BMI is studied as a main exposure for AF, Mendelian randomisation is present in both title and abstract, systolic blood pressure is mentioned as an outcome, and no European ancestry terms are present.",,,2
45,Causal effects of cardiovascular risk factors on onset of major age-related diseases: A time-to-event Mendelian randomization study,BACKGROUNDS: Elucidating the causal effects of com...,True,['abstract'],['body mass index (BMI)'],True,True,"['title', 'abstract']",['Mendelian randomization'],True,['abstract'],['systolic blood pressure (SBP)'],False,[],[],0,1,1,1.0,-2,BMI is studied as a main exposure for blood pressure outcomes. Mendelian randomisation is present in both title and abstract. Blood pressure terms are present and studied as outcomes. No European ancestry terms are found.,,,2
46,Revisiting the Alcohol Consumption Association With Age-Related Macular Degeneration: What Should We Tell Patients in 2021?,N/A...,False,[],[],False,False,[],[],False,[],[],False,[],[],-6,-2,-1,-2.0,-1,"No terms related to BMI/adiposity, Mendelian randomisation, blood pressure, or European ancestry were mentioned in the title or abstract. BMI/adiposity is not a main exposure as it is not mentioned at all.",,,-6
47,"Robust Mendelian randomization in the presence of residual population stratification, batch effects and horizontal pleiotropy",Mendelian Randomization (MR) studies are threatene...,True,['abstract'],['body mass index'],True,True,"['title', 'abstract']","['Mendelian randomization', 'Mendelian Randomization']",True,['abstract'],['diastolic blood pressure'],False,[],[],-1,1,1,1.0,-2,"BMI is studied as a main exposure for diastolic blood pressure, which is considered as an outcome. Mendelian randomisation is present in both title and abstract. No European ancestry terms are found, leading to a negative score for that category.",,,2
48,Negative Effects of Age at Menarche on Risk of Cardiometabolic Diseases in Adulthood: A Mendelian Randomization Study,CONTEXT: Observational studies have demonstrated t...,True,['abstract'],"['body mass index (BMI)', 'adiposity']",False,True,"['title', 'abstract']","['Mendelian randomization', 'Mendelian randomisation']",True,['abstract'],['diastolic blood pressure'],False,[],[],-2,-1,1,,-2,"BMI/adiposity is present but not as the main exposure, thus -1. Mendelian randomisation is present, thus +1. Blood pressure terms are present as outcomes, thus +1. No European ancestry terms are present, thus -2.",1.0,,-1
49,"Genetically driven adiposity traits increase the risk of coronary artery disease independent of blood pressure, dyslipidaemia, glycaemic traits",Adiposity has been associated with the risk of cor...,True,"['title', 'abstract']","['adiposity traits', 'adiposity', 'body mass index', 'BMI']",True,True,['abstract'],['Mendelian randomization'],True,['title'],['blood pressure'],False,[],[],0,1,1,-1.0,-2,"BMI/adiposity is the main exposure studied for its effect on CAD, earning +1. Mendelian randomisation is present, adding +1. Blood pressure is mentioned but not as the main outcome, resulting in -1. No European ancestry terms are present, resulting in -2.",,,2
50,A data-driven approach for studying the role of body mass in multiple diseases: a phenome-wide registry-based case-control study in the UK Biobank,BACKGROUND: Mendelian randomisation allows for the...,True,"['title', 'abstract']","['body mass', 'high body-mass index (BMI)']",True,True,['abstract'],"['Mendelian randomisation', 'mendelian randomisation']",True,['abstract'],['hypertension'],True,['abstract'],['white British'],2,1,1,1.0,-1,"BMI is studied as a main exposure variable for multiple diseases, including blood pressure-related outcomes. Mendelian randomisation is present and used to assess causal effects. Hypertension is studied as an outcome, contributing positively. European ancestry is mentioned, but the term 'white British' may not fully align with broader European/white/Caucasian ancestry categories.",,,5
