title,score.value,decision,score.justification
Genetic analysis of obstructive sleep apnoea discovers a strong association with cardiometabolic health,0,Excluded,"BMI is studied as a main exposure to OSA, not just a covariate. Mendelian randomisation is present and supports a causal relationship. Blood pressure terms are present but not as the main outcome. European ancestry is indicated by the mention of the FinnGen study."
"Association of lactase persistence genotype with milk consumption, obesity and blood pressure: a Mendelian randomization study in the 1982 Pelotas (Brazil) Birth Cohort, with a systematic review and meta-analysis",-3,Excluded,"BMI/adiposity is present but not as the main exposure, only as a covariate. Mendelian randomisation is present and correctly identified. Blood pressure terms are present but not as the main outcome. No European ancestry terms are found."
Metabolic and lifestyle factors in relation to senile cataract: a Mendelian randomization study,0,Excluded,BMI is studied as a main exposure variable. Blood pressure terms are present but not as the main outcome. Mendelian randomisation and European ancestry are both present in the text.
Association of Serum Uric Acid with Metabolic Syndrome and Its Components: A Mendelian Randomization Analysis,-3,Excluded,"BMI/adiposity is not mentioned, thus not the main exposure (-2). Mendelian randomisation is present (+1). Blood pressure terms are present but not as the main outcome (+1). No mention of European ancestry or population (-2)."
Impact of comorbidities on gout and hyperuricaemia: an update on prevalence and treatment options,-3,Excluded,"BMI/adiposity terms are absent, not studied as an exposure. Blood pressure terms are present but not as the main outcome. Mendelian randomisation is mentioned but not linked to European ancestry, which is absent."
Can increasing years of schooling reduce type 2 diabetes (T2D)?: Evidence from a Mendelian randomization of T2D and 10 of its risk factors,-2,Excluded,"BMI/adiposity ('being overweight') is mentioned but not as a main exposure, thus -1. Blood pressure ('higher blood pressure') is mentioned but not as the main outcome, thus -1. Mendelian randomisation is present, thus +1. No European ancestry terms are found, thus -2."
"Genetic Association of Waist-to-Hip Ratio With Cardiometabolic Traits, Type 2 Diabetes, and Coronary Heart Disease",0,Excluded,BMI is studied as a main exposure variable for blood pressure outcomes. Mendelian randomisation is present and used in the analysis. Blood pressure terms are present but not as the main outcome. European ancestry is indicated by the mention of the UK Biobank.
Evidence of a causal relationship between high serum adiponectin levels and increased cardiovascular mortality rate in patients with type 2 diabetes,-3,Excluded,"BMI is present but not as the main exposure, only as part of an adjusted model. Mendelian randomisation is present. Hypertension is mentioned but not as the main outcome. No European ancestry terms are found."
Association of cardiovascular risk factors and lifestyle behaviors with aortic aneurysm: A Mendelian randomization study,2,Excluded,"BMI is studied as a main exposure for blood pressure outcomes, both BMI and blood pressure terms are directly linked to the main study outcomes, Mendelian randomisation is present, and the study population is of European ancestry."
Risk factors mediating the effect of body mass index and waist-to-hip ratio on cardiovascular outcomes: Mendelian randomization analysis,0,Excluded,"BMI is studied as a main exposure variable for cardiovascular outcomes, Mendelian randomisation is present, blood pressure terms are present but not as the main outcome, and European ancestry is explicitly mentioned."
Type 2 Diabetes Is Causally Associated With Reduced Serum Osteocalcin: A Genomewide Association and Mendelian Randomization Study,-1,Excluded,"BMI is studied as a main exposure variable for blood pressure outcomes, Mendelian randomisation is present, blood pressure terms are present but not as the main outcome, and there is no mention of European ancestry."
Alcohol consumption and electrocardiographic left ventricular hypertrophy and mediation by elevated blood pressure in older Chinese men: the Guangzhou Biobank Cohort Study,-1,Excluded,"BMI is present but not as a main exposure, only as an adjusted variable. Mendelian randomization is mentioned as a suggested approach. Blood pressure is studied as a main outcome. No European ancestry terms are present."
"Genetically, Dietary Sodium Intake Is Causally Associated with Salt-Sensitive Hypertension Risk in a Community-Based Cohort Study: a Mendelian Randomization Approach",-1,Excluded,"BMI is present but not as a main exposure, only as a covariate. Mendelian randomisation is clearly present in both title and abstract. Blood pressure terms are present and studied as the main outcome. No European ancestry terms are found."
Causal association of body mass index with hypertension using a Mendelian randomization design,0,Excluded,"BMI is the main exposure studied for its causal effect on hypertension, which is the main outcome. Mendelian randomisation is present and used in the analysis. No European ancestry terms are mentioned, leading to a negative score in that category."
Using genetics to detangle the relationships between red cell distribution width and cardiovascular diseases: a unique role for body mass index,-1,Excluded,"BMI is studied as the main exposure in relation to RDW, which is a cardiovascular disease risk factor. Mendelian randomisation is present and used to explore this relationship. Blood pressure terms are present but not as the main outcome. No European ancestry terms are mentioned."
Causal associations of body mass index and waist-to-hip ratio with cardiometabolic traits among Chinese children: A Mendelian randomization study,2,Excluded,"BMI is studied as a main exposure to blood pressure, which is the main outcome. Mendelian randomisation is present. European ancestry is mentioned but not the focus of the study, hence the negative score for European ancestry."
Phenome-wide investigation of the causal associations between childhood BMI and adult trait outcomes: a two-sample Mendelian randomization study,1,Excluded,BMI/adiposity is studied as the main exposure variable in relation to adult traits. Mendelian randomisation is present and used in the study. Blood pressure terms are present and studied as an outcome. European ancestry is mentioned specifically referencing the UK Biobank.
Genetic Evidence for Different Adiposity Phenotypes and Their Opposing Influences on Ectopic Fat and Risk of Cardiometabolic Disease,2,Excluded,Adiposity is studied as the main exposure for cardiometabolic diseases. Mendelian randomization is present and used to study the effects of adiposity. Hypertension is studied as a main outcome. The term 'UK Biobank' indicates a European population but does not explicitly confirm European ancestry.
Modifiable Risk Factors for Intracranial Aneurysm and Aneurysmal Subarachnoid Hemorrhage: A Mendelian Randomization Study,-1,Excluded,"BMI/adiposity is present but not as the main exposure, hence -1. Mendelian randomisation is present, hence +1. Blood pressure terms are present as the main outcome, hence +1. European ancestry is absent, hence -2."
The influence of obesity-related factors in the etiology of renal cell carcinoma-A mendelian randomization study,0,Excluded,"BMI/adiposity is studied as a main exposure for RCC risk, Mendelian randomisation is present, blood pressure (specifically diastolic) is studied as a main outcome, and no European ancestry terms are mentioned."
The association between mitochondrial DNA abundance and stroke: A combination of multivariable-adjusted survival and Mendelian randomization analyses,-1,Excluded,"BMI is present but not as the main exposure, it's a confounder. Blood pressure terms are present but not as the main outcome, they are also confounders. Mendelian randomisation is correctly identified as present. European ancestry is correctly identified as present."
Polygenic risk score identifies associations between sleep duration and diseases determined from an electronic medical record biobank,-1,Excluded,"BMI/adiposity (obesity) is present but not as the main exposure, resulting in -1 points. Mendelian randomisation is present, adding 1 point. Blood pressure (hypertension) is present and studied as the main outcome, adding 1 point. European ancestry is absent, resulting in -2 points."
Interaction-based Mendelian randomization with measured and unmeasured gene-by-covariate interactions,2,Excluded,"BMI is studied as a main exposure for blood pressure, which is the main outcome. Mendelian randomization is present in both title and abstract. European ancestry is indicated by 'UK Biobank', but this does not explicitly confirm European or white ancestry, hence a negative score for European ancestry."
BMI Is Causally Associated With Pulmonary Artery Pressure But Not Hemodynamic Evidence of Pulmonary Vascular Remodeling,0,Excluded,"BMI is studied as the main exposure for pulmonary artery pressure, which is the main outcome. Mendelian randomization is present and correctly applied to study the causality of BMI on pulmonary artery pressure. No European ancestry terms are present, reducing the score."
Contribution of metabolic risk factors and lifestyle behaviors to cardiovascular disease: A mendelian randomization study,0,Excluded,"BMI is a main exposure variable for CVD, Mendelian randomisation is present in both title and abstract, blood pressure terms are studied as main outcomes, and no European ancestry terms are mentioned."
Exploring causal associations between alcohol and coronary heart disease risk factors: findings from a Mendelian randomization study in the Copenhagen General Population Study,0,Excluded,"BMI is present but not as the main exposure, hence -1. Mendelian randomisation is present, hence +1. Blood pressure terms are present and studied as the main outcome, hence +1. European ancestry is indicated by the mention of the Copenhagen study, hence +1."
A multi-omics study of circulating phospholipid markers of blood pressure,0,Excluded,"BMI/adiposity is present but not as a main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present and studied as the main outcome, scoring +1. European ancestry is mentioned, scoring +1."
"Birthweight, Type 2 Diabetes Mellitus, and Cardiovascular Disease: Addressing the Barker Hypothesis With Mendelian Randomization",-1,Excluded,"BMI/adiposity terms are present but not as the main exposure, leading to a -1 score. Blood pressure terms are present but not as the main outcome, also leading to a -1 score. Mendelian randomisation is present, adding 1 point. European ancestry is indicated by 'UK Biobank', adding 1 point."
Causal Effect of Adiposity Measures on Blood Pressure Traits in 2 Urban Swedish Cohorts: A Mendelian Randomization Study,2,Excluded,"BMI/adiposity is studied as the main exposure to blood pressure, which is the main outcome. Mendelian randomisation is present and discussed. European ancestry is mentioned, but only as the location of the cohort, not specifically targeting European ancestry."
High-Density Lipoprotein 3 Cholesterol and Primary Open-Angle Glaucoma: Metabolomics and Mendelian Randomization Analyses,-2,Excluded,"BMI is present but not as a main exposure, Mendelian randomisation is present, blood pressure terms are present but not as the main outcome, and no European ancestry terms are found."
The role of adiposity in cardiometabolic traits: a Mendelian randomization analysis,2,Excluded,"BMI/adiposity is the main exposure variable studied for its causal relationship with blood pressure and other cardiometabolic traits. Mendelian randomisation is present and used as the methodological approach. Blood pressure terms are present and studied as main outcomes. European ancestry is mentioned, but the term 'European descent' does not strictly match the required terms for European/white/Caucasian ancestry."
Obesity increases the risk of cardiovascular disease,-4,Excluded,"BMI/adiposity was not mentioned as an exposure or otherwise, resulting in a -2 score. Mendelian randomisation was present, adding 1 point. No blood pressure terms or European ancestry were mentioned, each contributing to a -2 score."
Systematic evaluation of the association between hemoglobin levels and metabolic profile implicates beneficial effects of hypoxia,-2,Excluded,"BMI/adiposity is present but not as the main exposure, hence -1. Blood pressure terms are present but not as the main outcome, hence -1. Mendelian randomisation is present, hence +1. European ancestry is absent, hence -2. Total score calculated as -2."
Lifestyle and metabolic factors for nonalcoholic fatty liver disease: Mendelian randomization study,-1,Excluded,"BMI is studied as a main exposure for NAFLD, Mendelian randomisation is present, blood pressure terms are present but not as the main outcome, and there is no mention of European ancestry."
A phenome-wide bidirectional Mendelian randomization analysis of atrial fibrillation,-1,Excluded,BMI is a main exposure variable for atrial fibrillation. Mendelian randomisation is present in both title and abstract. Blood pressure terms are present but not as the main outcome. No European ancestry terms are mentioned.
Causal effects of cardiovascular risk factors on onset of major age-related diseases: A time-to-event Mendelian randomization study,-1,Excluded,"BMI is studied as a main exposure for cardiovascular diseases, Mendelian randomization is present in both title and abstract, blood pressure terms are present but not as the main outcome, and there is no mention of European ancestry."
Revisiting the Alcohol Consumption Association With Age-Related Macular Degeneration: What Should We Tell Patients in 2021?,-6,Excluded,"No terms related to BMI/adiposity, Mendelian randomisation, blood pressure, or European ancestry were mentioned in the title or abstract. Therefore, all respective scores are negative."
"Robust Mendelian randomization in the presence of residual population stratification, batch effects and horizontal pleiotropy",0,Excluded,"BMI is studied as a main exposure variable for diastolic blood pressure, which is the main outcome. Mendelian randomization is present in both title and abstract. No European ancestry terms found, impacting the score negatively."
Negative Effects of Age at Menarche on Risk of Cardiometabolic Diseases in Adulthood: A Mendelian Randomization Study,-2,Excluded,"BMI/adiposity is present but not as the main exposure, only as a confounder. Mendelian randomisation is present in both title and abstract. Blood pressure terms are present but not as the main outcome. No European ancestry terms are found."
"Genetically driven adiposity traits increase the risk of coronary artery disease independent of blood pressure, dyslipidaemia, glycaemic traits",-1,Excluded,BMI/adiposity is the main exposure in the study as it is directly linked to CAD risk independent of other factors. Mendelian randomisation is present and used to establish causality. Blood pressure is mentioned but not as the main outcome. No European ancestry or specific population mentioned.
A data-driven approach for studying the role of body mass in multiple diseases: a phenome-wide registry-based case-control study in the UK Biobank,2,Excluded,"BMI is studied as a main exposure for multiple diseases, including blood pressure outcomes. Mendelian randomisation is present and used to assess causal effects. Blood pressure terms are present and studied as outcomes. European ancestry is explicitly mentioned."
Genetic studies of abdominal MRI data identify genes regulating hepcidin as major determinants of liver iron concentration,0,Excluded,BMI/adiposity is present as 'central obesity' and is a main exposure variable. Mendelian randomisation is present. Blood pressure terms are present but not as the main outcome. European ancestry is indicated by 'UK Biobank'.
"Coffee intake and risk of obesity, metabolic syndrome and type 2 diabetes: a Mendelian randomization study",-3,Excluded,"BMI/adiposity is present but not as the main exposure, resulting in -1 points. Mendelian randomisation is present, adding 1 point. Blood pressure terms are present but not as the main outcome, resulting in -1 points. European ancestry is absent, resulting in -2 points."
Identifying shared genetic loci between coronavirus disease 2019 and cardiovascular diseases based on cross-trait meta-analysis,-1,Excluded,"BMI/adiposity (OBE) is present but not as a main exposure, leading to -1 points. Mendelian randomization is present, adding 1 point. Blood pressure terms are present as the main outcome, adding 1 point. European ancestry is absent, resulting in -2 points."
Association of plasma uric acid with ischaemic heart disease and blood pressure: mendelian randomisation analysis of two large cohorts,0,Excluded,"BMI is present but not as the main exposure, it is used as a confounding factor. Mendelian randomisation is clearly mentioned in both the title and abstract. Blood pressure is studied as the main outcome. European ancestry is indicated by the mention of Denmark."
Association of vitamin D status with arterial blood pressure and hypertension risk: a mendelian randomisation study,-1,Excluded,"BMI/adiposity terms are absent, hence -2 points. Mendelian randomisation is present, adding 1 point. Blood pressure terms are present and studied as the main outcome, adding 1 point. European ancestry is not mentioned, resulting in -2 points."
"Nonfasting glucose, ischemic heart disease, and myocardial infarction: a Mendelian randomization study",-1,Excluded,"BMI/adiposity is not mentioned, thus scoring -2. Mendelian randomisation is present in both title and abstract, scoring 1. Blood pressure terms are absent, scoring -2. European ancestry is indicated by mention of Copenhagen, Denmark, scoring 1."
Genetically elevated levels of circulating triglycerides and brachial-ankle pulse wave velocity in a Chinese population,-3,Excluded,"BMI is present but not as the main exposure, only as a covariate. Mendelian randomisation is present. Blood pressure terms are present but not as the main outcome, only as covariates. No European ancestry terms are present."
"Causal Inference for Genetic Obesity, Cardiometabolic Profile and COVID-19 Susceptibility: A Mendelian Randomization Study",0,Excluded,"BMI is studied as a main exposure for blood pressure, which is not the main outcome. Mendelian randomisation and European ancestry are present."
Epigenome-wide association study identifies DNA methylation sites associated with target organ damage in older African Americans,-1,Excluded,"BMI is present but not as a main exposure, only as an adjustment factor. Mendelian randomization is present and discussed in the context of causality. Blood pressure is the main outcome of the study. No European ancestry or related terms are mentioned."
"Trans-biobank analysis with 676,000 individuals elucidates the association of polygenic risk scores of complex traits with human lifespan",0,Excluded,"BMI is present but not as a main exposure, reducing the score. Mendelian randomization is present, adding to the score. Blood pressure is studied as the main outcome, positively impacting the score. European ancestry is mentioned, contributing positively to the score."
Age- and sex-specific causal effects of adiposity on cardiovascular risk factors,0,Excluded,"BMI/adiposity is studied as the main exposure for blood pressure, which is the main outcome. Mendelian randomisation is present. No European ancestry terms found, impacting the score negatively."
"Letter by Gill Regarding Article, ""White Blood Cells and Blood Pressure: A Mendelian Randomization Study""",-1,Excluded,BMI/adiposity is absent and not studied as an exposure. Mendelian randomisation is present. Blood pressure is present and studied as the main outcome. European ancestry is not mentioned.
"Relationship between alcohol use, blood pressure and hypertension: an association study and a Mendelian randomisation study",-1,Excluded,"BMI/adiposity is not mentioned, thus not a main exposure (-2). Mendelian randomisation is present (+1). Blood pressure terms are present and studied as main outcomes (+1). No mention of European ancestry or related terms (-2)."
Mendelian randomization estimates of alanine aminotransferase with cardiovascular disease: Guangzhou Biobank Cohort study,-2,Excluded,"BMI is present but not as a main exposure, Mendelian randomisation is present, blood pressure terms are present but not as the main outcome, and there is no mention of European ancestry."
Impact of risk factors for major cardiovascular diseases: a comparison of life-time observational and Mendelian randomisation findings,0,Excluded,"BMI is present but not as a main exposure, hence -1. Blood pressure terms are present as the main outcome, hence +1. Mendelian randomisation is present, hence +1. European ancestry is present, hence +1."
"Variation in Normal Range Thyroid Function Affects Serum Cholesterol Levels, Blood Pressure, and Type 2 Diabetes Risk: A Mendelian Randomization Study",-1,Excluded,"BMI is present but not as a main exposure, reducing its score. Mendelian randomisation is clearly present in both title and abstract. Blood pressure is a main outcome, positively affecting the score. No European ancestry terms are found, negatively impacting the score."
Identification of Circulating Proteins Associated With Blood Pressure Using Mendelian Randomization,0,Excluded,"BMI is mentioned in the abstract but not as the main exposure, thus -1. Blood pressure terms are the main outcome, thus +1. Mendelian randomisation is present in both title and abstract, thus +1. European ancestry is confirmed by mention of the UK Biobank, thus +1."
"A UGT1A1 variant is associated with serum total bilirubin levels, which are causal for hypertension in African-ancestry individuals",-1,Excluded,"BMI/adiposity is present but not as the main exposure, leading to a -1 score. Mendelian randomisation is present, adding 1 point. Blood pressure terms are present and studied as the main outcome, adding 1 point. European ancestry is absent, resulting in a -2 score."
"The relationships of sex hormone-binding globulin, total testosterone, androstenedione and free testosterone with metabolic and reproductive features of polycystic ovary syndrome",-2,Excluded,"BMI is present but not as a main exposure, Mendelian randomisation is present, blood pressure terms are present but not as a main outcome, and no European ancestry terms are found."
Serum uric acid levels and cardiovascular disease: the Gordian knot,-3,Excluded,"BMI/adiposity terms are absent, thus scoring -2. Mendelian randomisation is present but only in the abstract, scoring 1. Blood pressure terms are present but not as the main outcome, scoring -1. No European/white/caucasian ancestry terms are found, scoring -2."
Causal effects of body mass index on cardiometabolic traits and events: a Mendelian randomization analysis,2,Excluded,"BMI is studied as the main exposure affecting cardiometabolic traits, including blood pressure as an outcome. Mendelian randomization is used to explore these causal effects. The study includes European-descent individuals, confirming the presence of European ancestry."
Uric Acid and Cardiovascular Events: A Mendelian Randomization Study,-3,Excluded,"BMI/adiposity is not mentioned, thus scoring -2. Mendelian randomisation is present in both title and abstract, scoring 1. Blood pressure term 'hypertension' is present but not as the main outcome, scoring -1. No European ancestry terms are mentioned, scoring -2."
Association of Cardiovascular Risk Factors and Lifestyle Behaviors With Hypertension: A Mendelian Randomization Study,2,Excluded,"BMI is studied as a main exposure for hypertension, which is the main outcome. Mendelian randomisation is present in both title and abstract. European ancestry is mentioned, but the terms used ('European-descent', 'European cohorts') may not fully align with the requirement for 'European/white/caucasian population/ancestry'."
Mendelian randomisation in type 2 diabetes and coronary artery disease,-1,Excluded,"BMI/adiposity is present but not as the main exposure, thus -1. Mendelian randomisation is present, thus +1. Blood pressure terms are present and studied as the main outcome, thus +1. European ancestry is absent, thus -2. Total score calculated as -1."
Mendelian randomization study of B-type natriuretic peptide and type 2 diabetes: evidence of causal association from population studies,-2,Excluded,"BMI/adiposity is present but not as the main exposure, leading to -1 points. Mendelian randomisation is present, adding 1 point. Blood pressure terms are present but not as the main outcome, resulting in -1 points. European ancestry is absent, resulting in -2 points."
Insulin Response to Oral Glucose and Cardiometabolic Disease: A Mendelian Randomization Study to Assess Potential Causality,0,Excluded,BMI and adiposity are studied as main exposures to cardiometabolic diseases. Mendelian randomisation is present in both title and abstract. Blood pressure terms are present but not as the main outcome. European ancestry is explicitly mentioned.
On the Use of the Lasso for Instrumental Variables Estimation with Some Invalid Instruments,2,Excluded,"BMI is studied as a main exposure for blood pressure, which is the main outcome. Mendelian randomisation is present. European ancestry is indicated by 'UK Biobank', but it is not explicitly mentioned as European or white ancestry, hence the deduction."
Conventional and Bidirectional Genetic Evidence on Resting Heart Rate and Cardiometabolic Traits,0,Excluded,"BMI is present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present as the main outcome, scoring +1. European ancestry is indicated by 'UK Biobank', scoring +1."
Causal relationships between obesity and the leading causes of death in women and men,0,Excluded,BMI is studied as a main exposure variable using genetic risk scores as instrumental variables. Mendelian randomization is explicitly mentioned as the method used. Blood pressure is mentioned but not as the main outcome. The UK Biobank indicates a European population.
C-reactive protein and its role in metabolic syndrome: mendelian randomisation study,-1,Excluded,"BMI is present but not as the main exposure, hence -1. Blood pressure terms are present but not as the main outcome, hence -1. Mendelian randomisation is present, adding 1 point. European ancestry is mentioned (British), adding 1 point."
Common quantitative trait locus downstream of RETN gene identified by genome-wide association study is associated with risk of type 2 diabetes mellitus in Han Chinese: a Mendelian randomization effect,-3,Excluded,"BMI/adiposity is not mentioned, thus scoring -2. Mendelian randomisation is present in both title and abstract, scoring 1. Blood pressure terms are present but not as the main outcome, scoring -1. No European ancestry terms are mentioned, scoring -2."
Effect of Systolic Blood Pressure on Left Ventricular Structure and Function: A Mendelian Randomization Study,0,Excluded,"BMI is present but not as the main exposure, thus -1. Mendelian randomisation is present, thus +1. Blood pressure terms are the main outcome, thus +1. European ancestry is indicated by 'UK Biobank', thus +1."
"Searching for the causal effects of body mass index in over 300 000 participants in UK Biobank, using Mendelian randomization",0,Excluded,"BMI is studied as the main exposure variable, Mendelian randomisation is present, blood pressure terms are present but not as the main outcome, and European ancestry is indicated by 'UK Biobank'."
Phenome-wide Mendelian-randomization study of genetically determined vitamin D on multiple health outcomes using the UK Biobank study,0,Excluded,"BMI is present but not as a main exposure, reducing its score. Blood pressure terms are present as main outcomes, and Mendelian randomisation is clearly mentioned. European ancestry is confirmed with 'White British'."
Association of serum HDL-cholesterol and apolipoprotein A1 levels with risk of severe SARS-CoV-2 infection,-1,Excluded,"BMI/adiposity is not mentioned as an exposure or outcome, leading to a score of -2. Mendelian randomisation is present in the abstract, scoring +1. Blood pressure is mentioned but not as the main outcome, resulting in -1. European ancestry is indicated by 'UK Biobank', scoring +1."
Excess comorbidities in gout: the causal paradigm and pleiotropic approaches to care,-2,Excluded,"BMI/adiposity is mentioned but not as a main exposure, resulting in -1 points. Mendelian randomisation is present, adding 1 point. Blood pressure terms are mentioned but not as the main outcome, leading to -1 points. No European ancestry terms are found, resulting in -2 points."
Genetic Evidence for Causal Relationships Between Maternal Obesity-Related Traits and Birth Weight,0,Excluded,"BMI is studied as a main exposure for blood pressure, which is not the main outcome. Mendelian randomisation and European ancestry are present, contributing positively to the score."
Understanding the consequences of education inequality on cardiovascular disease: mendelian randomisation study,-1,Excluded,"BMI is present but not as the main exposure, it is a mediator. Blood pressure is present but not as the main outcome, it is a mediator. Mendelian randomisation and European ancestry are both present."
"Associations of Visceral Adipose Tissue, Circulating Protein Biomarkers, and Risk of Cardiovascular Diseases: A Mendelian Randomization Analysis",0,Excluded,BMI/adiposity is studied as a main exposure variable. Mendelian randomisation is present. Blood pressure terms are present but not as the main outcome. European ancestry is indicated by the mention of the FinnGen study.
Evaluation of the causal effects between subjective wellbeing and cardiometabolic health: mendelian randomisation study,-1,Excluded,"BMI is present but not as the main exposure, it is studied as an outcome. Blood pressure terms are present but not as the main outcome. Mendelian randomisation and European ancestry are both present."
Mendelian randomization in family data,-2,Excluded,"BMI is present but not as a main exposure, Mendelian randomisation is present, blood pressure terms are present but not as a main outcome, and no European ancestry terms are found."
Plasma Circulating Vitamin C Levels and Risk of Endometrial Cancer: A Bi-Directional Mendelian Randomization Analysis,-3,Excluded,"BMI/adiposity is mentioned but not as the main exposure, hence -1. Blood pressure is mentioned but not as the main outcome, hence -1. Mendelian randomisation is present, hence +1. No European ancestry mentioned, hence -2."
Distinct causal effects of body fat distribution on cardiometabolic traits among children: Findings from the BCAMS study,0,Excluded,"BMI/adiposity is studied as a main exposure to blood pressure outcomes, Mendelian randomisation is present, blood pressure terms are studied as main outcomes, and there is no mention of European ancestry."
"Remnant cholesterol, low-density lipoprotein cholesterol, and blood pressure as mediators from obesity to ischemic heart disease",-1,Excluded,"BMI is present but not as the main exposure, blood pressure terms are present but not as the main outcome, Mendelian randomisation and European ancestry are correctly identified."
Exploring the causal pathway from ischemic stroke to atrial fibrillation: a network Mendelian randomization study,0,Excluded,"BMI/adiposity is present but not as a main exposure, thus -1. Blood pressure terms are present and studied as the main outcome, thus +1. Mendelian randomisation is present, thus +1. European ancestry is mentioned, thus +1. Total score is calculated as the sum of these values."
Lifetime body mass index and later atherosclerosis risk in young adults: examining causal links using Mendelian randomization in the Cardiovascular Risk in Young Finns study,0,Excluded,"BMI is studied as a main exposure to blood pressure outcomes, Mendelian randomization is present, blood pressure terms are present but not as the main outcome, and European ancestry is indicated by 'Finns'."
Disease consequences of higher adiposity uncoupled from its adverse metabolic effects using Mendelian randomisation,0,Excluded,"BMI/adiposity is studied as a main exposure to diseases. Mendelian randomisation is present and used in the study. Blood pressure terms are present and studied as main outcomes. European ancestry is not mentioned, leading to a negative score in that category."
"Vitamin D, Cardiovascular Disease and Risk Factors",-2,Excluded,"BMI/adiposity terms are absent, thus scoring -2. Mendelian randomisation is present in the abstract, scoring 1. Blood pressure terms are present and studied as a main outcome, scoring 1. European ancestry is not mentioned, scoring -2."
Effects of the Timing of Sex-Steroid Exposure in Adolescence on Adult Health Outcomes,-3,Excluded,"BMI is present but not as a main exposure, Mendelian randomisation is present, blood pressure is present but not as a main outcome, and European ancestry is absent."
Lipid and metabolic syndrome traits in coronary artery disease: a Mendelian randomization study,-3,Excluded,"BMI is present but not as a main exposure, Mendelian randomisation is present, blood pressure terms are present but not as the main outcome, and no European ancestry terms are found."
"Association of Smoking, Alcohol Consumption, Blood Pressure, Body Mass Index, and Glycemic Risk Factors With Age-Related Macular Degeneration: A Mendelian Randomization Study",-1,Excluded,"BMI is a main exposure variable, Mendelian randomisation is present, blood pressure terms are present but not as the main outcome, and no European ancestry terms are found."
Relation of age-related cataract with obesity and obesity genes in an Asian population,-2,Excluded,"BMI is present but not as a main exposure, only as a covariate. Mendelian randomisation is present. Blood pressure is mentioned but not as the main outcome. No European ancestry terms are present."
Genetically predicted testosterone and cardiovascular risk factors in men: a Mendelian randomization analysis in the Guangzhou Biobank Cohort Study,-2,Excluded,"BMI is present but not as a main exposure, Mendelian randomisation is present, blood pressure terms are present but not as the main outcome, and there is no mention of European ancestry."
Robust inference of bi-directional causal relationships in presence of correlated pleiotropy with GWAS summary data,-2,Excluded,"BMI is mentioned but not as a main exposure, Mendelian randomisation is present, blood pressure is mentioned but not as a main outcome, and no European ancestry terms are found."
