title,score.value,decision,score.justification
Evidence of a causal relationship between high serum adiponectin levels and increased cardiovascular mortality rate in patients with type 2 diabetes,-1,Excluded,"BMI is present but not as the main exposure, only as part of a model. Mendelian randomisation is explicitly mentioned. Hypertension is mentioned as part of the model, indicating blood pressure is considered. No European ancestry terms are found."
Association of cardiovascular risk factors and lifestyle behaviors with aortic aneurysm: A Mendelian randomization study,2,Excluded,"BMI is studied as a main exposure to aortic aneurysm, not as a covariate or mediator. Blood pressure (hypertension) is studied as an outcome. Mendelian randomisation is present in both title and abstract. European ancestry is mentioned, but the presence of a specific European country is not, hence a slight deduction."
Risk factors mediating the effect of body mass index and waist-to-hip ratio on cardiovascular outcomes: Mendelian randomization analysis,2,Excluded,"BMI is studied as a main exposure for cardiovascular outcomes, Mendelian randomisation is present, blood pressure is studied as an outcome, and European ancestry is mentioned but not as the sole focus."
Type 2 Diabetes Is Causally Associated With Reduced Serum Osteocalcin: A Genomewide Association and Mendelian Randomization Study,-1,Excluded,BMI is studied as a main exposure variable for blood pressure and other metabolic traits. Mendelian randomisation is present in both title and abstract. Blood pressure is mentioned but not as the main outcome. No European ancestry or population mentioned.
Alcohol consumption and electrocardiographic left ventricular hypertrophy and mediation by elevated blood pressure in older Chinese men: the Guangzhou Biobank Cohort Study,-1,Excluded,"BMI is present but not as a main exposure, Mendelian randomisation is mentioned, blood pressure terms are present as main outcome, and no European ancestry terms are found."
"Genetically, Dietary Sodium Intake Is Causally Associated with Salt-Sensitive Hypertension Risk in a Community-Based Cohort Study: a Mendelian Randomization Approach",-1,Excluded,"BMI/adiposity is present but not as the main exposure, resulting in -1 points. Mendelian randomisation is present, adding 1 point. Blood pressure terms are present and studied as the main outcome, adding 1 point. European ancestry is absent, resulting in -2 points."
Causal association of body mass index with hypertension using a Mendelian randomization design,0,Excluded,BMI/adiposity is the main exposure variable as it is used as the instrumental variable for assessing its causal effect on hypertension. Mendelian randomisation is explicitly mentioned as the method used. Hypertension is clearly the outcome variable. No European ancestry or related terms are mentioned; the study is based in Korea.
Using genetics to detangle the relationships between red cell distribution width and cardiovascular diseases: a unique role for body mass index,0,Excluded,"BMI is studied as a main exposure to RDW, not as a covariate or mediator. Mendelian randomisation is present in the abstract. Blood pressure terms are present but not as the main outcome, hence the negative score. No European ancestry terms are mentioned, resulting in a negative score."
Causal associations of body mass index and waist-to-hip ratio with cardiometabolic traits among Chinese children: A Mendelian randomization study,2,Excluded,"BMI is studied as a main exposure to cardiometabolic traits, including blood pressure as an outcome. Mendelian randomisation is present and used in the study. European ancestry is mentioned but not the focus of the study, hence the negative score for European ancestry."
Phenome-wide investigation of the causal associations between childhood BMI and adult trait outcomes: a two-sample Mendelian randomization study,0,Excluded,"BMI/adiposity terms are present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present and studied as an outcome, scoring +1. European ancestry is mentioned specifically as 'UK Biobank', scoring +1."
Genetic Evidence for Different Adiposity Phenotypes and Their Opposing Influences on Ectopic Fat and Risk of Cardiometabolic Disease,2,Excluded,"Adiposity is studied as the main exposure in relation to cardiometabolic diseases, Mendelian randomization is present, hypertension is studied as an outcome, and European ancestry is indicated by 'UK Biobank' but not explicitly as European or white ancestry."
Modifiable Risk Factors for Intracranial Aneurysm and Aneurysmal Subarachnoid Hemorrhage: A Mendelian Randomization Study,-1,Excluded,"BMI is present but not as the main exposure, Mendelian randomisation and blood pressure terms are present, and there is no mention of European ancestry."
The influence of obesity-related factors in the etiology of renal cell carcinoma-A mendelian randomization study,0,Excluded,"BMI/adiposity is studied as a main exposure to RCC risk, Mendelian randomisation is present, blood pressure (specifically diastolic blood pressure) is studied as an outcome, and there is no mention of European ancestry."
The association between mitochondrial DNA abundance and stroke: A combination of multivariable-adjusted survival and Mendelian randomization analyses,0,Excluded,"BMI is present but not as the main exposure, it is considered a confounder. Mendelian randomisation is clearly present in both the title and abstract. Blood pressure term 'hypertension' is mentioned as a confounder, not as the main outcome. European ancestry is explicitly mentioned with the term 'European-ancestry'."
Polygenic risk score identifies associations between sleep duration and diseases determined from an electronic medical record biobank,-1,Excluded,"Obesity is mentioned but not as the main exposure, hence -1. Mendelian randomization is present, scoring +1. Hypertension is mentioned as an outcome, scoring +1. No European ancestry terms are present, scoring -2."
Interaction-based Mendelian randomization with measured and unmeasured gene-by-covariate interactions,2,Excluded,"BMI is studied as a main exposure to blood pressure, specifically systolic blood pressure, which is considered as an outcome. Mendelian randomization is present in both the title and abstract. European ancestry is indicated by the mention of UK Biobank, but it does not specifically confirm European or white ancestry, hence the negative score for this category."
BMI Is Causally Associated With Pulmonary Artery Pressure But Not Hemodynamic Evidence of Pulmonary Vascular Remodeling,0,Excluded,"BMI is studied as the main exposure for pulmonary artery pressure, which is a blood pressure term. However, blood pressure is not the main outcome studied, hence the negative score. Mendelian randomization is present, but there is no mention of European ancestry, leading to a negative score for that category."
Contribution of metabolic risk factors and lifestyle behaviors to cardiovascular disease: A mendelian randomization study,0,Excluded,"BMI is studied as a main exposure for CVD, Mendelian randomisation is present, blood pressure terms are studied as outcomes, but no European ancestry terms are present."
Exploring causal associations between alcohol and coronary heart disease risk factors: findings from a Mendelian randomization study in the Copenhagen General Population Study,2,Excluded,"BMI is studied as a main exposure to blood pressure, which is the outcome. Mendelian randomisation is present in both title and abstract. Blood pressure is also present as an outcome. European ancestry is indicated by 'Copenhagen', but it is not explicitly stated as European or Caucasian ancestry, hence the deduction."
A multi-omics study of circulating phospholipid markers of blood pressure,0,Excluded,"BMI/adiposity is present but not as the main exposure, hence -1. Blood pressure terms are present and studied as main outcomes, hence +1. Mendelian randomisation is present, hence +1. European ancestry is mentioned, hence +1. Total score is 0."
"Birthweight, Type 2 Diabetes Mellitus, and Cardiovascular Disease: Addressing the Barker Hypothesis With Mendelian Randomization",0,Excluded,"BMI/adiposity terms are present but not as the main exposure, leading to a -1 score. Mendelian randomisation is present, scoring +1. Blood pressure terms are present but not as the main outcome, scoring -1. European ancestry is indicated by the mention of the UK Biobank, scoring +1."
Causal Effect of Adiposity Measures on Blood Pressure Traits in 2 Urban Swedish Cohorts: A Mendelian Randomization Study,2,Excluded,"BMI/adiposity is studied as the main exposure for blood pressure outcomes, fulfilling the criteria for a positive score. Mendelian randomisation is clearly mentioned, and blood pressure terms are present as outcomes. European ancestry is mentioned, but only as 'Swedish', which does not fully cover broader European ancestry, leading to a slight deduction."
High-Density Lipoprotein 3 Cholesterol and Primary Open-Angle Glaucoma: Metabolomics and Mendelian Randomization Analyses,-2,Excluded,"BMI is mentioned but not as a main exposure variable, leading to a -1 score. Mendelian randomisation is present, adding 1 point. Blood pressure terms are present as an outcome, adding 1 point. No European ancestry terms are found, resulting in a -2 score."
The role of adiposity in cardiometabolic traits: a Mendelian randomization analysis,2,Excluded,"BMI/adiposity is the main exposure studied in relation to blood pressure and other cardiometabolic traits, using Mendelian randomization. Blood pressure is considered as an outcome. European ancestry is mentioned, but not as a primary focus of the study."
Obesity increases the risk of cardiovascular disease,-4,Excluded,"BMI/adiposity was not mentioned as an exposure or otherwise, resulting in a -2 score. Mendelian randomisation was present, adding 1 point. No blood pressure terms or European ancestry were mentioned, each contributing to a -2 score."
Systematic evaluation of the association between hemoglobin levels and metabolic profile implicates beneficial effects of hypoxia,-1,Excluded,"BMI/adiposity is present but not as a main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present as outcomes, scoring +1. No European ancestry terms found, scoring -2."
Lifestyle and metabolic factors for nonalcoholic fatty liver disease: Mendelian randomization study,0,Excluded,"BMI is studied as a main exposure for NAFLD risk, Mendelian randomisation is present in both title and abstract, blood pressure is present but not as the main outcome, and no European ancestry terms are found."
A phenome-wide bidirectional Mendelian randomization analysis of atrial fibrillation,0,Excluded,"BMI is studied as a main exposure for AF, Mendelian randomisation is present in both title and abstract, systolic blood pressure is mentioned as an outcome, and no European ancestry terms are present."
Causal effects of cardiovascular risk factors on onset of major age-related diseases: A time-to-event Mendelian randomization study,0,Excluded,BMI is studied as a main exposure for blood pressure outcomes. Mendelian randomisation is present in both title and abstract. Blood pressure terms are present and studied as outcomes. No European ancestry terms are found.
Revisiting the Alcohol Consumption Association With Age-Related Macular Degeneration: What Should We Tell Patients in 2021?,-6,Excluded,"No terms related to BMI/adiposity, Mendelian randomisation, blood pressure, or European ancestry were mentioned in the title or abstract. BMI/adiposity is not a main exposure as it is not mentioned at all."
"Robust Mendelian randomization in the presence of residual population stratification, batch effects and horizontal pleiotropy",-1,Excluded,"BMI is studied as a main exposure for diastolic blood pressure, which is considered as an outcome. Mendelian randomisation is present in both title and abstract. No European ancestry terms are found, leading to a negative score for that category."
Negative Effects of Age at Menarche on Risk of Cardiometabolic Diseases in Adulthood: A Mendelian Randomization Study,-2,Excluded,"BMI/adiposity is present but not as the main exposure, thus -1. Mendelian randomisation is present, thus +1. Blood pressure terms are present as outcomes, thus +1. No European ancestry terms are present, thus -2."
"Genetically driven adiposity traits increase the risk of coronary artery disease independent of blood pressure, dyslipidaemia, glycaemic traits",0,Excluded,"BMI/adiposity is the main exposure studied for its effect on CAD, earning +1. Mendelian randomisation is present, adding +1. Blood pressure is mentioned but not as the main outcome, resulting in -1. No European ancestry terms are present, resulting in -2."
A data-driven approach for studying the role of body mass in multiple diseases: a phenome-wide registry-based case-control study in the UK Biobank,2,Excluded,"BMI is studied as a main exposure variable for multiple diseases, including blood pressure-related outcomes. Mendelian randomisation is present and used to assess causal effects. Hypertension is studied as an outcome, contributing positively. European ancestry is mentioned, but the term 'white British' may not fully align with broader European/white/Caucasian ancestry categories."
Genetic studies of abdominal MRI data identify genes regulating hepcidin as major determinants of liver iron concentration,2,Excluded,Central obesity is studied as a main exposure for liver iron content. Mendelian randomisation is present and used to analyze causal effects. High blood pressure is mentioned as an outcome in phenome-wide associations. UK Biobank indicates a European population but does not specifically confirm European ancestry as a focus.
"Coffee intake and risk of obesity, metabolic syndrome and type 2 diabetes: a Mendelian randomization study",-1,Excluded,"BMI/adiposity is present but not as the main exposure, only as a related component. Mendelian randomisation is clearly present in both title and abstract. Blood pressure terms are present as outcomes related to coffee intake. No European ancestry terms are found."
Identifying shared genetic loci between coronavirus disease 2019 and cardiovascular diseases based on cross-trait meta-analysis,-1,Excluded,"BMI/adiposity (OBE) is present but not as the main exposure, hence -1. Mendelian randomization is present, scoring +1. Blood pressure term 'hypertension' is present as an outcome, scoring +1. No European/white/Caucasian ancestry terms are present, scoring -2."
Association of plasma uric acid with ischaemic heart disease and blood pressure: mendelian randomisation analysis of two large cohorts,0,Excluded,"BMI/adiposity is present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present and studied as main outcomes, scoring +1. European ancestry is confirmed through mention of Denmark, scoring +1."
Association of vitamin D status with arterial blood pressure and hypertension risk: a mendelian randomisation study,-1,Excluded,"BMI/adiposity is not mentioned, thus not the main exposure, scoring -2. Mendelian randomisation is present in both title and abstract, scoring 1. Blood pressure terms are present and studied as main outcomes, scoring 1. No European ancestry terms are mentioned, scoring -2."
"Nonfasting glucose, ischemic heart disease, and myocardial infarction: a Mendelian randomization study",-1,Excluded,"BMI/adiposity is not mentioned, thus scoring -2. Mendelian randomisation is present in both title and abstract, scoring 1. Blood pressure terms are absent, scoring -2. European ancestry is indicated by mention of Copenhagen, Denmark, scoring 1."
Genetically elevated levels of circulating triglycerides and brachial-ankle pulse wave velocity in a Chinese population,-2,Excluded,"BMI is present but not as a main exposure, only as an adjusted factor. Mendelian randomisation is present and used to test causality. Blood pressure terms are present but only as covariates, not as main outcomes. No European ancestry terms are mentioned."
"Causal Inference for Genetic Obesity, Cardiometabolic Profile and COVID-19 Susceptibility: A Mendelian Randomization Study",1,Excluded,BMI is studied as a main exposure for blood pressure outcomes. Mendelian randomisation is present in both title and abstract. Blood pressure terms are present and studied as outcomes. European ancestry is explicitly mentioned in the abstract.
Epigenome-wide association study identifies DNA methylation sites associated with target organ damage in older African Americans,-2,Excluded,"BMI is present but not as the main exposure, only as a covariate. Mendelian randomization is present and relevant. Blood pressure is present and relevant as an outcome. European ancestry is not mentioned, impacting the score negatively."
"Trans-biobank analysis with 676,000 individuals elucidates the association of polygenic risk scores of complex traits with human lifespan",0,Excluded,"BMI is mentioned but not as the main exposure, hence -1. Mendelian randomization is present, scoring +1. Blood pressure terms are present and studied as an outcome, scoring +1. European ancestry is mentioned, scoring +1."
Age- and sex-specific causal effects of adiposity on cardiovascular risk factors,-1,Excluded,"Adiposity is studied as the main exposure affecting blood pressure, a main outcome. Mendelian randomisation is present in the study. No European ancestry terms are mentioned, negatively impacting the score."
"Letter by Gill Regarding Article, ""White Blood Cells and Blood Pressure: A Mendelian Randomization Study""",-2,Excluded,"BMI/adiposity terms are absent, thus scoring -2. Mendelian randomisation is present in the title, scoring +1. Blood pressure terms are present as an outcome in the title, scoring +1. European ancestry terms are absent, scoring -2."
"Relationship between alcohol use, blood pressure and hypertension: an association study and a Mendelian randomisation study",-3,Excluded,BMI/adiposity is absent and not studied as an exposure. Mendelian randomisation is present and mentioned in both title and abstract. Blood pressure terms are present and studied as main outcomes. No European/white/Caucasian ancestry terms are mentioned.
Mendelian randomization estimates of alanine aminotransferase with cardiovascular disease: Guangzhou Biobank Cohort study,-1,Excluded,"BMI is present but not as a main exposure, Mendelian randomisation is present, blood pressure terms are present as outcomes, and there is no mention of European ancestry."
Impact of risk factors for major cardiovascular diseases: a comparison of life-time observational and Mendelian randomisation findings,0,Excluded,"BMI is present but not as the main exposure, hence -1. Blood pressure terms are present as the main outcome, hence +1. Mendelian randomisation is present, hence +1. European ancestry is indicated by the mention of a study in Uppsala, hence +1."
"Variation in Normal Range Thyroid Function Affects Serum Cholesterol Levels, Blood Pressure, and Type 2 Diabetes Risk: A Mendelian Randomization Study",-1,Excluded,"BMI is present but not as a main exposure, reducing its score. Mendelian randomisation and blood pressure terms are correctly identified and contribute positively. No European ancestry terms are present, resulting in a negative score for that category."
Identification of Circulating Proteins Associated With Blood Pressure Using Mendelian Randomization,0,Excluded,"BMI is present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present and studied as main outcomes, scoring +1. European ancestry is indicated by 'UK Biobank', scoring +1."
"A UGT1A1 variant is associated with serum total bilirubin levels, which are causal for hypertension in African-ancestry individuals",-2,Excluded,"BMI is present but not as a main exposure, only as an adjustment factor. Mendelian randomisation is present and correctly applied to assess causality. Hypertension is correctly identified as the main outcome. No European ancestry terms are present."
"The relationships of sex hormone-binding globulin, total testosterone, androstenedione and free testosterone with metabolic and reproductive features of polycystic ovary syndrome",-1,Excluded,"BMI is present but not as the main exposure, only as part of a broader analysis of metabolic features. Mendelian randomisation is explicitly mentioned. Blood pressure terms are included as outcomes in the study. No European ancestry or related terms are mentioned."
Serum uric acid levels and cardiovascular disease: the Gordian knot,-2,Excluded,"BMI/adiposity terms are absent, thus scoring -2. Mendelian randomisation is present in the abstract, scoring 1. Blood pressure term 'hypertension' is present as an outcome in the abstract, scoring 1. No European ancestry terms are found, scoring -2."
Causal effects of body mass index on cardiometabolic traits and events: a Mendelian randomization analysis,2,Excluded,"BMI is studied as the main exposure in relation to cardiometabolic traits, including blood pressure as an outcome. Mendelian randomization is present and used to analyze the causal effects of BMI. Blood pressure terms are present and studied as an outcome. European ancestry is mentioned, but the term 'European-descent' does not strictly match the required 'European/white/caucasian population/ancestry' terms."
Uric Acid and Cardiovascular Events: A Mendelian Randomization Study,-2,Excluded,"BMI/adiposity (Obesity) is present but not as the main exposure, hence -1. Mendelian randomisation is present, hence +1. Blood pressure term (hypertension) is present as an outcome, hence +1. European ancestry is absent, hence -2."
Association of Cardiovascular Risk Factors and Lifestyle Behaviors With Hypertension: A Mendelian Randomization Study,2,Excluded,"BMI is studied as a main exposure to hypertension, which is the main outcome. Mendelian randomisation is present in both title and abstract. European ancestry is mentioned, but not as a primary focus, hence the negative score for this category."
Mendelian randomisation in type 2 diabetes and coronary artery disease,0,Excluded,BMI is studied as a main exposure to blood pressure outcomes. Mendelian randomisation is present in both title and abstract. Hypertension is mentioned as an outcome. No European ancestry terms are present.
Mendelian randomization study of B-type natriuretic peptide and type 2 diabetes: evidence of causal association from population studies,-1,Excluded,"BMI is present but not as the main exposure, it is adjusted for in the analysis. Mendelian randomisation is clearly present in both the title and abstract. Blood pressure terms are present but not as the main outcome, they are part of the adjusted factors. No European ancestry terms are mentioned."
Insulin Response to Oral Glucose and Cardiometabolic Disease: A Mendelian Randomization Study to Assess Potential Causality,2,Excluded,"BMI and adiposity are studied as main exposures affecting blood pressure, which is considered as an outcome. Mendelian randomisation is present and used in the study. European ancestry is mentioned, but the presence of only one specific group may limit broader applicability."
On the Use of the Lasso for Instrumental Variables Estimation with Some Invalid Instruments,2,Excluded,"BMI is studied as the main exposure for blood pressure outcomes, specifically diastolic blood pressure. Mendelian randomization is present and used in the study. Blood pressure is the main outcome of the study. European ancestry is indicated by the use of UK Biobank data, but it does not explicitly mention European or white ancestry, hence the deduction."
Conventional and Bidirectional Genetic Evidence on Resting Heart Rate and Cardiometabolic Traits,0,Excluded,"BMI/adiposity is present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present and studied as outcomes, scoring +1. European ancestry is present through the mention of 'UK Biobank', scoring +1."
Causal relationships between obesity and the leading causes of death in women and men,1,Excluded,"BMI is studied as a main exposure variable for obesity traits. Mendelian randomization is present and used in the analysis. Blood pressure terms are present but not as the main outcome, rather as potential mediators. European ancestry is indicated by the mention of the UK Biobank."
C-reactive protein and its role in metabolic syndrome: mendelian randomisation study,0,Excluded,"BMI/adiposity is present but not as the main exposure, leading to a -1 score. Mendelian randomisation is present, scoring +1. Blood pressure terms are present as an outcome, scoring +1. European ancestry is indicated by 'British', scoring +1."
Common quantitative trait locus downstream of RETN gene identified by genome-wide association study is associated with risk of type 2 diabetes mellitus in Han Chinese: a Mendelian randomization effect,-3,Excluded,"BMI/adiposity is not mentioned, thus scoring -2. Mendelian randomisation is present in both title and abstract, scoring 1. Blood pressure terms are present but not as the main outcome, scoring -1. No European ancestry terms are mentioned, scoring -2."
Effect of Systolic Blood Pressure on Left Ventricular Structure and Function: A Mendelian Randomization Study,0,Excluded,"BMI is present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present and studied as main outcome, scoring +1. European ancestry is indicated by 'UK Biobank', scoring +1."
"Searching for the causal effects of body mass index in over 300 000 participants in UK Biobank, using Mendelian randomization",2,Excluded,"BMI is studied as the main exposure variable for blood pressure outcomes, including hypertension. Mendelian randomisation is present and used as a method. European ancestry is indicated by the mention of UK Biobank, but not explicitly stated as European or Caucasian, hence the deduction."
Phenome-wide Mendelian-randomization study of genetically determined vitamin D on multiple health outcomes using the UK Biobank study,0,Excluded,"BMI/adiposity is present but not as a main exposure, leading to a -1 score. Mendelian randomisation is present, scoring +1. Blood pressure terms are present as outcomes, scoring +1. European ancestry is confirmed, scoring +1."
Association of serum HDL-cholesterol and apolipoprotein A1 levels with risk of severe SARS-CoV-2 infection,-1,Excluded,"BMI/adiposity terms are absent, thus scoring -2. Mendelian randomisation is present in the abstract, scoring 1. Blood pressure term 'hypertension' is present as a covariate, not as the main outcome, scoring 1. European ancestry is indicated by 'UK Biobank', scoring 1."
Excess comorbidities in gout: the causal paradigm and pleiotropic approaches to care,-2,Excluded,"BMI/adiposity is mentioned but not as a main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present as an outcome, scoring +1. No European ancestry terms are mentioned, scoring -2."
Genetic Evidence for Causal Relationships Between Maternal Obesity-Related Traits and Birth Weight,1,Excluded,"BMI/adiposity is studied as the main exposure variable, Mendelian randomisation is present, European ancestry is mentioned, but blood pressure terms are not studied as the main outcome."
Understanding the consequences of education inequality on cardiovascular disease: mendelian randomisation study,0,Excluded,"BMI is present but not as the main exposure, it is a mediator. Mendelian randomisation is clearly mentioned in both title and abstract. Blood pressure is studied as an outcome. European ancestry is explicitly mentioned."
"Associations of Visceral Adipose Tissue, Circulating Protein Biomarkers, and Risk of Cardiovascular Diseases: A Mendelian Randomization Analysis",0,Excluded,"Visceral Adipose Tissue is analyzed as the main exposure for cardiovascular diseases, which qualifies as BMI/adiposity. Mendelian Randomization is explicitly mentioned. No specific blood pressure terms related to the main outcome were found. FinnGen study implies Finnish (European) ancestry."
Evaluation of the causal effects between subjective wellbeing and cardiometabolic health: mendelian randomisation study,2,Excluded,"BMI is studied as a main exposure affecting subjective wellbeing. Mendelian randomisation is present in both title and abstract. Blood pressure terms are present but not as the main outcome. European ancestry is mentioned, but the inclusion of non-European ancestries affects the relevance score for European ancestry."
Mendelian randomization in family data,-2,Excluded,"BMI is present but not as the main exposure, Mendelian randomisation is present, blood pressure terms are present as outcomes, and no European ancestry terms are found."
Plasma Circulating Vitamin C Levels and Risk of Endometrial Cancer: A Bi-Directional Mendelian Randomization Analysis,-1,Excluded,"BMI is mentioned in the abstract but not as the main exposure, hence -1. Mendelian randomisation is present in both title and abstract, scoring +1. Hypertension is mentioned as a risk factor, scoring +1. No European ancestry terms found, scoring -2."
Distinct causal effects of body fat distribution on cardiometabolic traits among children: Findings from the BCAMS study,0,Excluded,"BMI/adiposity is studied as a main exposure to blood pressure outcomes, Mendelian randomisation is present, blood pressure terms are studied as outcomes, but no European ancestry terms are present."
"Remnant cholesterol, low-density lipoprotein cholesterol, and blood pressure as mediators from obesity to ischemic heart disease",0,Excluded,"BMI is present but not as the main exposure, it is used as a mediator. Blood pressure terms are present but not as the main outcome, they are mediators. Mendelian randomisation is correctly included as a method. European ancestry is indicated by the mention of Copenhagen."
Exploring the causal pathway from ischemic stroke to atrial fibrillation: a network Mendelian randomization study,0,Excluded,"BMI/adiposity is present but not as the main exposure, hence -1. Mendelian randomisation is present, hence +1. Blood pressure terms are present and studied as outcomes, hence +1. European ancestry is present, hence +1. Total score calculated as 0."
Lifetime body mass index and later atherosclerosis risk in young adults: examining causal links using Mendelian randomization in the Cardiovascular Risk in Young Finns study,2,Excluded,"BMI is studied as a main exposure to atherosclerosis risk, thus scoring +1. Mendelian randomization is present and used in the study, scoring +1. Blood pressure terms are present but not as the main outcome, scoring +1. European ancestry is mentioned ('Finns'), but it is not clear if it refers to a broader European context, thus scoring -1."
Disease consequences of higher adiposity uncoupled from its adverse metabolic effects using Mendelian randomisation,0,Excluded,"BMI/adiposity is studied as the main exposure variable for blood pressure outcomes, Mendelian randomisation is present, blood pressure terms are present as outcomes, but there is no mention of European ancestry."
"Vitamin D, Cardiovascular Disease and Risk Factors",-2,Excluded,"BMI/adiposity is absent, not studied as an exposure. Mendelian randomisation is present but not in the title. Blood pressure terms are present as outcomes. European ancestry is not mentioned."
Effects of the Timing of Sex-Steroid Exposure in Adolescence on Adult Health Outcomes,0,Excluded,BMI is studied as a main exposure to blood pressure outcomes. Mendelian randomisation is present in the abstract. Blood pressure is studied as an outcome. No European ancestry terms are present.
