title,score.value,decision,score.justification
"Genetic Association of Waist-to-Hip Ratio With Cardiometabolic Traits, Type 2 Diabetes, and Coronary Heart Disease",4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Evidence of a causal relationship between high serum adiponectin levels and increased cardiovascular mortality rate in patients with type 2 diabetes,3,Excluded,"Three out of the four term categories are present, but there is no mention of European or white ancestry, resulting in a score of 3."
Association of cardiovascular risk factors and lifestyle behaviors with aortic aneurysm: A Mendelian randomization study,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Risk factors mediating the effect of body mass index and waist-to-hip ratio on cardiovascular outcomes: Mendelian randomization analysis,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Type 2 Diabetes Is Causally Associated With Reduced Serum Osteocalcin: A Genomewide Association and Mendelian Randomization Study,3,Excluded,"Three of the four term categories are present in the document, leading to a score of 3."
Alcohol consumption and electrocardiographic left ventricular hypertrophy and mediation by elevated blood pressure in older Chinese men: the Guangzhou Biobank Cohort Study,3,Excluded,"Three out of the four term categories are present in the document, which results in a score of 3."
"Genetically, Dietary Sodium Intake Is Causally Associated with Salt-Sensitive Hypertension Risk in a Community-Based Cohort Study: a Mendelian Randomization Approach",3,Excluded,"Three out of the four term categories are present, but there is no mention of European or white ancestry."
Causal association of body mass index with hypertension using a Mendelian randomization design,3,Excluded,"Three out of the four term categories are present in the document, missing only the European ancestry category."
Using genetics to detangle the relationships between red cell distribution width and cardiovascular diseases: a unique role for body mass index,3,Excluded,"Three out of four term categories are present (BMI/adiposity, Mendelian randomisation, and cardiovascular terms), but there is no mention of European ancestry."
Causal associations of body mass index and waist-to-hip ratio with cardiometabolic traits among Chinese children: A Mendelian randomization study,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Phenome-wide investigation of the causal associations between childhood BMI and adult trait outcomes: a two-sample Mendelian randomization study,3,Excluded,"Three out of the four term categories are present, but there is no mention of European or white ancestry, leading to a score of 3."
Genetic Evidence for Different Adiposity Phenotypes and Their Opposing Influences on Ectopic Fat and Risk of Cardiometabolic Disease,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Modifiable Risk Factors for Intracranial Aneurysm and Aneurysmal Subarachnoid Hemorrhage: A Mendelian Randomization Study,3,Excluded,"Three out of the four term categories were present in the document, hence a score of 3 is assigned."
The influence of obesity-related factors in the etiology of renal cell carcinoma-A mendelian randomization study,3,Excluded,"Three out of four term categories are present, but there is no mention of European or white ancestry."
The association between mitochondrial DNA abundance and stroke: A combination of multivariable-adjusted survival and Mendelian randomization analyses,4,Excluded,"All four term categories are present in the document, thus achieving the maximum relevance score."
Polygenic risk score identifies associations between sleep duration and diseases determined from an electronic medical record biobank,3,Excluded,"Three out of the four term categories were identified in the abstract, leading to a score of 3."
Interaction-based Mendelian randomization with measured and unmeasured gene-by-covariate interactions,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
BMI Is Causally Associated With Pulmonary Artery Pressure But Not Hemodynamic Evidence of Pulmonary Vascular Remodeling,0,Excluded,"Two term categories (BMI/adiposity and Mendelian randomisation) are present, while cardiovascular disease and European ancestry are absent."
Contribution of metabolic risk factors and lifestyle behaviors to cardiovascular disease: A mendelian randomization study,3,Excluded,"Three out of four term categories are present, which results in a score of 3."
Exploring causal associations between alcohol and coronary heart disease risk factors: findings from a Mendelian randomization study in the Copenhagen General Population Study,3,Excluded,"Three out of the four term categories are present, resulting in a score of 3."
A multi-omics study of circulating phospholipid markers of blood pressure,4,Excluded,"All four term categories are present in the abstract, hence the highest score of 4 is awarded."
"Birthweight, Type 2 Diabetes Mellitus, and Cardiovascular Disease: Addressing the Barker Hypothesis With Mendelian Randomization",4,Excluded,"All four term categories are present in the document, with each term found in either the title or abstract, thus achieving the highest relevance score."
Causal Effect of Adiposity Measures on Blood Pressure Traits in 2 Urban Swedish Cohorts: A Mendelian Randomization Study,3,Excluded,"Three term categories (bmi_adiposity, mendelian_randomisation, cardiovascular) are present, but european_ancestry is absent."
High-Density Lipoprotein 3 Cholesterol and Primary Open-Angle Glaucoma: Metabolomics and Mendelian Randomization Analyses,3,Excluded,"Three out of the four term categories are present in the document, resulting in a score of 3."
The role of adiposity in cardiometabolic traits: a Mendelian randomization analysis,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Obesity increases the risk of cardiovascular disease,3,Excluded,"Three term categories are present: Mendelian randomisation, cardiovascular disease. No terms related to BMI/adiposity or European ancestry were found."
Systematic evaluation of the association between hemoglobin levels and metabolic profile implicates beneficial effects of hypoxia,3,Excluded,"Three out of four term categories are present in the abstract, resulting in a score of 3."
Lifestyle and metabolic factors for nonalcoholic fatty liver disease: Mendelian randomization study,3,Excluded,"Three out of the four term categories are present, but there is no mention of European or white ancestry, resulting in a score of 3."
A phenome-wide bidirectional Mendelian randomization analysis of atrial fibrillation,3,Excluded,"Three out of the four term categories were identified in the text, thus scoring 3 points."
Causal effects of cardiovascular risk factors on onset of major age-related diseases: A time-to-event Mendelian randomization study,3,Excluded,"Three out of the four term categories were present in the document, leading to a score of 3."
Revisiting the Alcohol Consumption Association With Age-Related Macular Degeneration: What Should We Tell Patients in 2021?,-4,Excluded,None of the specified term categories are present in the title or abstract.
"Robust Mendelian randomization in the presence of residual population stratification, batch effects and horizontal pleiotropy",3,Excluded,"Three out of the four term categories are present in the document, leading to a score of 3."
Negative Effects of Age at Menarche on Risk of Cardiometabolic Diseases in Adulthood: A Mendelian Randomization Study,3,Excluded,"Three of the four term categories are present, but there is no mention of European or white ancestry, resulting in a score of 3."
"Genetically driven adiposity traits increase the risk of coronary artery disease independent of blood pressure, dyslipidaemia, glycaemic traits",3,Excluded,"Three out of four term categories are present, but there is no mention of European or white ancestry."
A data-driven approach for studying the role of body mass in multiple diseases: a phenome-wide registry-based case-control study in the UK Biobank,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Genetic studies of abdominal MRI data identify genes regulating hepcidin as major determinants of liver iron concentration,4,Excluded,"All four term categories are present in the abstract, leading to the highest relevance score."
"Coffee intake and risk of obesity, metabolic syndrome and type 2 diabetes: a Mendelian randomization study",3,Excluded,"Three out of the four term categories are present, but there is no mention of European or white ancestry, resulting in a score of 3."
Identifying shared genetic loci between coronavirus disease 2019 and cardiovascular diseases based on cross-trait meta-analysis,3,Excluded,"Three out of four term categories are present, but there is no mention of European or white ancestry."
Association of plasma uric acid with ischaemic heart disease and blood pressure: mendelian randomisation analysis of two large cohorts,3,Excluded,"Three out of four term categories are present, but there is no mention of European or white ancestry, resulting in a score of 3."
Association of vitamin D status with arterial blood pressure and hypertension risk: a mendelian randomisation study,0,Excluded,"Only two term categories (Mendelian randomisation and cardiovascular disease) were present, thus scoring 0 points."
"Nonfasting glucose, ischemic heart disease, and myocardial infarction: a Mendelian randomization study",3,Excluded,"Three out of the four term categories were present in the document, resulting in a score of 3."
Genetically elevated levels of circulating triglycerides and brachial-ankle pulse wave velocity in a Chinese population,3,Excluded,"Three of the four term categories are present, but there is no mention of European or white ancestry, leading to a score of 3."
"Causal Inference for Genetic Obesity, Cardiometabolic Profile and COVID-19 Susceptibility: A Mendelian Randomization Study",4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Epigenome-wide association study identifies DNA methylation sites associated with target organ damage in older African Americans,3,Excluded,"Three out of the four term categories are present in the abstract, hence a score of 3 is assigned."
"Trans-biobank analysis with 676,000 individuals elucidates the association of polygenic risk scores of complex traits with human lifespan",4,Excluded,"All four term categories are present in the abstract, thus achieving the highest relevance score."
Age- and sex-specific causal effects of adiposity on cardiovascular risk factors,3,Excluded,"Three out of the four term categories are present, but there is no mention of European or white ancestry."
"Letter by Gill Regarding Article, ""White Blood Cells and Blood Pressure: A Mendelian Randomization Study""",-2,Excluded,"Only one term category (Mendelian randomisation) is present, resulting in a score of -2."
"Relationship between alcohol use, blood pressure and hypertension: an association study and a Mendelian randomisation study",3,Excluded,"Three term categories (Mendelian randomisation, cardiovascular) are present, but BMI/adiposity and European ancestry are absent."
Mendelian randomization estimates of alanine aminotransferase with cardiovascular disease: Guangzhou Biobank Cohort study,3,Excluded,"Three out of the four term categories are present, but there is no mention of European or related ancestry terms."
Impact of risk factors for major cardiovascular diseases: a comparison of life-time observational and Mendelian randomisation findings,3,Excluded,"Three out of the four term categories were present in the document, leading to a score of 3."
"Variation in Normal Range Thyroid Function Affects Serum Cholesterol Levels, Blood Pressure, and Type 2 Diabetes Risk: A Mendelian Randomization Study",3,Excluded,"Three out of four term categories are present, but there is no mention of European or white ancestry, resulting in a score of 3."
Identification of Circulating Proteins Associated With Blood Pressure Using Mendelian Randomization,3,Excluded,"Three out of the four term categories are present, resulting in a score of 3."
"A UGT1A1 variant is associated with serum total bilirubin levels, which are causal for hypertension in African-ancestry individuals",3,Excluded,"Three of the four term categories are present, but there is no mention of European or white ancestry, leading to a score of 3."
"The relationships of sex hormone-binding globulin, total testosterone, androstenedione and free testosterone with metabolic and reproductive features of polycystic ovary syndrome",3,Excluded,"Three out of the four term categories are present in the abstract, resulting in a score of 3."
Serum uric acid levels and cardiovascular disease: the Gordian knot,3,Excluded,"Three term categories are present: Mendelian randomisation, cardiovascular disease, and hypertension. Adulthood body mass index and European ancestry are not mentioned."
Causal effects of body mass index on cardiometabolic traits and events: a Mendelian randomization analysis,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Uric Acid and Cardiovascular Events: A Mendelian Randomization Study,3,Excluded,"Three term categories are present: Mendelian randomisation, cardiovascular disease, and their variations. Adulthood body mass index and European ancestry terms are absent."
Association of Cardiovascular Risk Factors and Lifestyle Behaviors With Hypertension: A Mendelian Randomization Study,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Mendelian randomisation in type 2 diabetes and coronary artery disease,3,Excluded,"Three out of the four term categories are present, but there is no mention of European or white ancestry."
Mendelian randomization study of B-type natriuretic peptide and type 2 diabetes: evidence of causal association from population studies,3,Excluded,"Three out of the four term categories were present in the document, resulting in a score of 3."
Insulin Response to Oral Glucose and Cardiometabolic Disease: A Mendelian Randomization Study to Assess Potential Causality,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
On the Use of the Lasso for Instrumental Variables Estimation with Some Invalid Instruments,4,Excluded,"All four term categories are present in the abstract, thus achieving the highest relevance score."
Conventional and Bidirectional Genetic Evidence on Resting Heart Rate and Cardiometabolic Traits,3,Excluded,"Three out of four term categories are present, but European ancestry is not mentioned."
Causal relationships between obesity and the leading causes of death in women and men,3,Excluded,"Three out of four term categories are present, missing only the European ancestry term."
C-reactive protein and its role in metabolic syndrome: mendelian randomisation study,3,Excluded,"Three out of the four term categories are present: BMI/adiposity, Mendelian randomisation, and European ancestry. Cardiovascular disease or related terms are not mentioned."
Common quantitative trait locus downstream of RETN gene identified by genome-wide association study is associated with risk of type 2 diabetes mellitus in Han Chinese: a Mendelian randomization effect,0,Excluded,"Only two out of the four term categories were present, resulting in a score of 0."
Effect of Systolic Blood Pressure on Left Ventricular Structure and Function: A Mendelian Randomization Study,3,Excluded,"Three out of the four term categories were present in the document, leading to a score of 3."
"Searching for the causal effects of body mass index in over 300 000 participants in UK Biobank, using Mendelian randomization",3,Excluded,"Three out of four term categories are present (BMI/adiposity, Mendelian randomisation, and cardiovascular disease), but there is no mention of European/white/Caucasian ancestry."
Phenome-wide Mendelian-randomization study of genetically determined vitamin D on multiple health outcomes using the UK Biobank study,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Association of serum HDL-cholesterol and apolipoprotein A1 levels with risk of severe SARS-CoV-2 infection,3,Excluded,"Three out of the four term categories are present in the abstract, resulting in a score of 3."
Excess comorbidities in gout: the causal paradigm and pleiotropic approaches to care,3,Excluded,"Three out of the four term categories were present in the abstract, but there was no mention of European or white ancestry."
Genetic Evidence for Causal Relationships Between Maternal Obesity-Related Traits and Birth Weight,4,Excluded,"All four term categories are present in the abstract, thus achieving the highest relevance score."
Understanding the consequences of education inequality on cardiovascular disease: mendelian randomisation study,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
"Associations of Visceral Adipose Tissue, Circulating Protein Biomarkers, and Risk of Cardiovascular Diseases: A Mendelian Randomization Analysis",3,Excluded,"Three out of four term categories are present, but there is no mention of European or white ancestry."
Evaluation of the causal effects between subjective wellbeing and cardiometabolic health: mendelian randomisation study,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Mendelian randomization in family data,3,Excluded,"Three out of the four term categories are present in the document, but there is no mention of European or white ancestry."
Plasma Circulating Vitamin C Levels and Risk of Endometrial Cancer: A Bi-Directional Mendelian Randomization Analysis,3,Excluded,"Three out of the four term categories were present in the document, leading to a score of 3."
Distinct causal effects of body fat distribution on cardiometabolic traits among children: Findings from the BCAMS study,3,Excluded,"Three out of the four term categories are present in the abstract, hence a score of 3 is assigned."
"Remnant cholesterol, low-density lipoprotein cholesterol, and blood pressure as mediators from obesity to ischemic heart disease",3,Excluded,"Three of the four term categories are present (BMI/adiposity, Mendelian randomisation, and cardiovascular disease), but there is no mention of European ancestry."
Exploring the causal pathway from ischemic stroke to atrial fibrillation: a network Mendelian randomization study,3,Excluded,"Three of the four term categories are present, but there is no mention of European or white ancestry, resulting in a score of 3."
Lifetime body mass index and later atherosclerosis risk in young adults: examining causal links using Mendelian randomization in the Cardiovascular Risk in Young Finns study,3,Excluded,"Three out of the four term categories are present, but there is no mention of European or white ancestry."
Disease consequences of higher adiposity uncoupled from its adverse metabolic effects using Mendelian randomisation,3,Excluded,"Three out of four term categories are present, but there is no mention of European or white ancestry."
"Vitamin D, Cardiovascular Disease and Risk Factors",3,Excluded,"Three term categories are present: Mendelian randomisation, cardiovascular disease, and related terms. BMI/adiposity and European ancestry terms are absent."
Effects of the Timing of Sex-Steroid Exposure in Adolescence on Adult Health Outcomes,3,Excluded,"Three of the four term categories are present (BMI/adiposity, Mendelian randomisation, and cardiovascular), but there is no mention of European ancestry."
Lipid and metabolic syndrome traits in coronary artery disease: a Mendelian randomization study,3,Excluded,"Three out of the four term categories are present, but there is no mention of European or white or Caucasian ancestry."
"Association of Smoking, Alcohol Consumption, Blood Pressure, Body Mass Index, and Glycemic Risk Factors With Age-Related Macular Degeneration: A Mendelian Randomization Study",3,Excluded,"Three out of the four term categories are present, but there is no mention of European or white ancestry, resulting in a score of 3."
Relation of age-related cataract with obesity and obesity genes in an Asian population,3,Excluded,"Three out of the four term categories are present in the abstract, thus scoring 3 points."
Genetically predicted testosterone and cardiovascular risk factors in men: a Mendelian randomization analysis in the Guangzhou Biobank Cohort Study,3,Excluded,"Three out of the four term categories are present, but there is no mention of European or related ancestry terms."
Robust inference of bi-directional causal relationships in presence of correlated pleiotropy with GWAS summary data,3,Excluded,"Three out of the four term categories are present in the abstract, resulting in a score of 3."
Cardiometabolic traits mediating the effect of education on osteoarthritis risk: a Mendelian randomization study,3,Excluded,"Three out of four term categories are present, but there is no mention of European or white ancestry, resulting in a score of 3."
"Birth weight, childhood obesity and risk of hypertension: a Mendelian randomization study",4,Excluded,"All four term categories are present in the document, with each term found either in the title or abstract."
Shared genetic components between metabolic syndrome and schizophrenia: Genetic correlation using multipopulation data sets,4,Excluded,"All four term categories were present in the abstract, thus achieving the highest relevance score."
Factorial Mendelian randomization: using genetic variants to assess interactions,3,Excluded,"Three of the four term categories are present, but there is no mention of European or white ancestry, resulting in a score of 3."
Is aldehyde dehydrogenase 2 a credible genetic instrument for alcohol use in Mendelian randomization analysis in Southern Chinese men?,3,Excluded,"Three of the four term categories are present in the document, resulting in a score of 3."
"The role of obesity, type 2 diabetes, and metabolic factors in gout: A Mendelian randomization study",4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Does high C-reactive protein concentration increase atherosclerosis? The Whitehall II Study,-2,Excluded,"Only two categories (Mendelian randomisation and European ancestry) were present, resulting in a score of -2."
Obesity and ischemic heart disease: defining the link,-2,Excluded,"Only one out of the four term categories was present, leading to a score of -2."
Lack of association between modifiable exposures and glioma risk: a Mendelian randomization analysis,3,Excluded,"Three out of four term categories are present, hence a score of 3."
A two-sample Mendelian randomization analysis of modifiable risk factors and intracranial aneurysms,3,Excluded,"Three out of the four term categories were present in the document, but there was no mention of European or white ancestry."
Alcohol use and cardiometabolic risk in the UK Biobank: A Mendelian randomization study,3,Excluded,"Three out of the four term categories are present, missing only the European ancestry category."
Assessment of the Causal Effects of Obstructive Sleep Apnea on Atrial Fibrillation: A Mendelian Randomization Study,3,Excluded,"Three out of four term categories are present, missing only the European ancestry category."
Validation of external and internal exposome of the findings associated to cerebral small vessel disease: A Mendelian randomization study,3,Excluded,"Three of the four term categories are present (adiposity, Mendelian randomisation, and cardiovascular disease), but there is no mention of European ancestry."
"Causal Factors for Knee, Hip, and Hand Osteoarthritis: A Mendelian Randomization Study in the UK Biobank",4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Associations of Circulating Protein Levels With Lipid Fractions in the General Population,4,Excluded,"All four term categories are present in the abstract, thus achieving the highest relevance score."
Exploring the relationship between maternal iron status and offspring's blood pressure and adiposity: a Mendelian randomization study,3,Excluded,"Three out of four term categories are present, hence a score of 3."
Genetically predicted 17beta-estradiol and cardiovascular risk factors in women: a Mendelian randomization analysis using young women in Hong Kong and older women in the Guangzhou Biobank Cohort Study,3,Excluded,"Three out of the four term categories are present in the document, resulting in a score of 3."
Investigating the causal effect of fibroblast growth factor 23 on osteoporosis and cardiometabolic disorders: A Mendelian randomization study,3,Excluded,"Three out of the four term categories were present in the document, resulting in a score of 3."
"Molecular sources of residual cardiovascular risk, clinical signals, and innovative solutions: relationship with subclinical disease, undertreatment, and poor adherence: implications of new evidence upon optimizing cardiovascular patient outcomes",3,Excluded,"Three of the four term categories are present, but there is no mention of European or white or Caucasian ancestry, resulting in a score of 3."
Cardiometabolic Polygenic Risk Scores and Osteoarthritis Outcomes: A Mendelian Randomization Study Using Data From the Malmo Diet and Cancer Study and the UK Biobank,0,Excluded,"Two term categories were present: BMI/adiposity and Mendelian randomisation, but cardiovascular disease and European ancestry were not mentioned."
Association of cannabis use disorder with cardiovascular diseases: A two-sample Mendelian randomization study,3,Excluded,"Three out of four term categories are present, leading to a score of 3."
Timing of Pubertal Development and Midlife Blood Pressure in Men and Women: A Mendelian Randomization Study,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Effect of Cheese Intake on Cardiovascular Diseases and Cardiovascular Biomarkers,3,Excluded,"Three out of four term categories are present, but there is no mention of European or white ancestry, resulting in a score of 3."
Genetic evidence for a causal relationship between type 2 diabetes and peripheral artery disease in both Europeans and East Asians,3,Excluded,"Three out of the four required term categories are present in the document, hence a score of 3."
Mendelian randomization analysis does not support causal associations of birth weight with hypertension risk and blood pressure in adulthood,0,Excluded,"Only two out of the four term categories were present, thus the score is 0."
"Genome-Wide Association Analysis of Over 170,000 Individuals from the UK Biobank Identifies Seven Loci Associated with Dietary Approaches to Stop Hypertension (DASH) Diet",4,Excluded,"All four term categories are present in the document, with each term found in either the title or abstract."
A multi-population phenome-wide association study of genetically-predicted height in the Million Veteran Program,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
The association between cardiovascular risk factors and major cardiovascular diseases decreases with increasing frailty levels in geriatric outpatients,3,Excluded,"Three out of the four term categories are present: Mendelian randomisation, cardiovascular disease, and no terms related to European ancestry or BMI/adiposity were found."
Genetic Determinants of Body Mass Index and Fasting Glucose Are Mediators of Grade 1 Diastolic Dysfunction,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Cardiovascular risk factors and lifestyle behaviours in relation to longevity: a Mendelian randomization study,3,Excluded,"Three of the four term categories are present in the document, but there is no mention of European or white ancestry, resulting in a score of 3."
Mendelian Randomization Analyses Suggest Childhood Body Size Indirectly Influences End Points From Across the Cardiovascular Disease Spectrum Through Adult Body Size,3,Excluded,"Three out of the four term categories are present, but there is no mention of European or white ancestry."
Maternal Hypertension Increases Risk of Preeclampsia and Low Fetal Birthweight: Genetic Evidence From a Mendelian Randomization Study,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
"MR-PheWAS: hypothesis prioritization among potential causal effects of body mass index on many outcomes, using Mendelian randomization",3,Excluded,"Three out of the four term categories are present in the document, resulting in a score of 3."
Causal Effects of Overall and Abdominal Obesity on Insulin Resistance and the Risk of Type 2 Diabetes Mellitus: A Two-Sample Mendelian Randomization Study,0,Excluded,"Only two term categories (bmi_adiposity and mendelian_randomisation) were present, hence the score is 0."
Trans-ethnic Mendelian-randomization study reveals causal relationships between cardiometabolic factors and chronic kidney disease,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Appraising the Effect of Potential Risk Factors on Thyroid Cancer: A Mendelian Randomization Study,3,Excluded,"Three term categories are present: Mendelian randomisation and cardiovascular disease terms are found in the text, but no terms related to BMI/adiposity or European ancestry are mentioned."
Blood pressure and risk of cancer: a Mendelian randomization study,3,Excluded,"Three out of the four term categories are present, but cardiovascular disease terms are absent."
"Roles of Cardiometabolic Factors in Mediating the Causal Effect of Type 2 Diabetes on Cardiovascular Diseases: A Two-Step, Two-Sample Multivariable Mendelian Randomization Study",3,Excluded,"Three of the four term categories were present in the document, but there was no mention of European or white ancestry, resulting in a score of 3."
Accelerated MRI-predicted brain ageing and its associations with cardiometabolic and brain disorders,0,Excluded,"Two out of the four term categories were identified in the abstract, resulting in a score of 0."
Association between alcohol and cardiovascular disease: Mendelian randomisation analysis based on individual participant data,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
The Association of Obstructive Sleep Apnea With Breast Cancer Incidence and Mortality: A Systematic Review and Meta-analysis,0,Excluded,"Only two out of the four term categories were present, resulting in a score of 0."
Causal associations of tobacco smoking with cardiovascular risk factors: a Mendelian randomization analysis of the HUNT Study in Norway,3,Excluded,"Three out of the four term categories are present in the document, hence a score of 3 is assigned."
"Blood Eosinophil Count and Metabolic, Cardiac and Pulmonary Outcomes: A Mendelian Randomization Study",0,Excluded,"Two of the four term categories were present, resulting in a score of 0."
Risk of lower respiratory tract infections: a genome-wide association study with Mendelian randomization analysis in three independent European populations,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Associations of genetically predicted IL-6 signaling with cardiovascular disease risk across population subgroups,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Genetically predicted higher educational attainment decreases the risk of stroke: a multivariable Mendelian randomization study,4,Excluded,"All four term categories are present in the document, with each term found in the specified locations, thus achieving the maximum relevance score."
Genetically determined intelligence and coronary artery disease risk,3,Excluded,"Three of the four term categories are present, but there is no mention of European or white ancestry, resulting in a score of 3."
"Relative Deprivation, Income Inequality, and Cardiovascular Health: Observational and Mendelian Randomization Studies in Hong Kong Chinese",3,Excluded,"Three term categories are present (BMI/adiposity, Mendelian randomisation, cardiovascular disease), but there is no mention of European ancestry."
Does greater adiposity increase blood pressure and hypertension risk?: Mendelian randomization using the FTO/MC4R genotype,3,Excluded,"Three out of the four term categories are present, but there is no mention of European or white ancestry, resulting in a score of 3."
Genome-wide association and Mendelian randomisation analysis provide insights into the pathogenesis of heart failure,3,Excluded,"Three out of the four term categories are present in the text, but there is no mention of European or white or Caucasian ancestry."
Association between bilirubin and cardiovascular disease risk factors: using Mendelian randomization to assess causal inference,3,Excluded,"Three out of four term categories are present, but there is no mention of European or white ancestry, resulting in a score of 3."
Association between adiposity and cardiovascular outcomes: an umbrella review and meta-analysis of observational and Mendelian randomization studies,4,Excluded,"All four term categories are present in the document, which results in the highest relevance score."
Cognitive ability and physical health: a Mendelian randomization study,3,Excluded,"Three out of the four term categories were present in the document, leading to a score of 3."
Genetic determinants of daytime napping and effects on cardiometabolic health,3,Excluded,"Three out of the four term categories are present, resulting in a score of 3."
"Avoiding dynastic, assortative mating, and population stratification biases in Mendelian randomization through within-family analyses",3,Excluded,"Three out of the four term categories were present in the document, resulting in a score of 3."
From the Editor,-4,Excluded,None of the specified term categories are present in the title or abstract.
Multiple genetic variants explain measurable variance in type 2 diabetes-related traits in Pakistanis,4,Excluded,"All four term categories are present in the abstract, thus achieving the highest relevance score."
Genetically Predicted Obesity Causally Increased the Risk of Hypertension Disorders in Pregnancy,3,Excluded,"Three out of four term categories are present, but there is no mention of European or white ancestry."
"Adult height, coronary heart disease and stroke: a multi-locus Mendelian randomization meta-analysis",3,Excluded,"Three out of the four term categories were present in the document, resulting in a score of 3."
Correcting the Standard Errors of 2-Stage Residual Inclusion Estimators for Mendelian Randomization Studies,-2,Excluded,"Only one term category (Mendelian randomisation) is present, resulting in a score of -2."
Novel loci for childhood body mass index and shared heritability with adult cardiometabolic traits,0,Excluded,"Two out of the four term categories were identified in the document, resulting in a score of 0."
Comprehensive Investigation of Circulating Biomarkers and Their Causal Role in Atherosclerosis-Related Risk Factors and Clinical Events,4,Excluded,"All four term categories are present in the abstract, thus achieving the highest relevance score."
Epigenetic loci for blood pressure are associated with hypertensive target organ damage in older African Americans from the genetic epidemiology network of Arteriopathy (GENOA) study,3,Excluded,"Three out of the four term categories are present in the abstract, resulting in a score of 3."
